,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,Other Variable2,Coefficent3,Other Variable3,Coefficent4,y intercept
Birth Per Woman & Military & Population & Water,0.6799571315609518,0.6680252940558259,Population,-2.478193617299922,Water,-0.24091096778947493,Military,-4.026727534744978e-09,Birth Per Woman,0.22479768578873757,58.50750618404738
Birth Per Woman & Gdp & Military & Percentage Expenditure,0.6652591307801758,0.6644578437484155,Percentage Expenditure,-4.441001464688976,Birth Per Woman,0.00015056119867593054,Military,0.24404177101502006,Gdp,3.555854593271996e-05,81.15274071547846
Gdp & Military & Percentage Expenditure & Water,0.6659899121124535,0.6643244503263328,Percentage Expenditure,9.511458166974694e-05,Water,-0.21024291026972333,Military,0.00023439961696922196,Gdp,0.36400178146918094,38.80452025928345
Birth Per Woman & Fdi & Military & Total Expenditure,0.6206520091748516,0.6639192867552048,Total Expenditure,-4.696664712060534,Birth Per Woman,0.011390558849845314,Military,0.12097054216196555,Fdi,0.41823434327531145,80.52118009464934
Alcohol & Birth Per Woman & Military & Schooling,0.6803700024682728,0.6603193870544666,Alcohol,-0.15958075968758573,Birth Per Woman,-3.217692358828346,Military,0.18705956869933016,Schooling,1.259173186680258,63.913636867044886
Gdp & Military & Population & Water,0.6680224607409311,0.6586218584861129,Population,0.00014647149702134386,Water,-0.15435490774351873,Military,-3.603865178503085e-09,Gdp,0.3598135370887737,39.112644253013414
Alcohol & Gdp & Income Composition Of Resources & Military,0.660662594493317,0.6571570820708739,Alcohol,-0.13447561366291463,Income Composition Of Resources,6.0062003278745055e-05,Military,44.75350865336383,Gdp,0.15028745283043535,40.531950086769044
Birth Per Woman & Military & Schooling & Water,0.7173359187487043,0.6569572344658698,Schooling,-2.2018340446996514,Water,-0.011783324670797124,Military,0.7808002230044566,Birth Per Woman,0.15283053591543055,53.58579663068953
Birth Per Woman & Income Composition Of Resources & Military & Percentage Expenditure,0.7429342483180625,0.6564067747528615,Percentage Expenditure,-2.057333204578859,Birth Per Woman,31.092242902676297,Military,0.12053299372743363,Income Composition Of Resources,0.00035062031070509647,54.75895022869524
Alcohol & Military & Schooling & Water,0.6897251372171167,0.655170500875203,Alcohol,-0.10850604042730214,Water,-0.07706062675848496,Military,1.1141399142766983,Schooling,0.26920521595137137,34.20504555773057
Income Composition Of Resources & Military & Percentage Expenditure & Schooling,0.6716501101992303,0.6550408933823659,Percentage Expenditure,33.10882700313873,Schooling,0.38194601920601434,Military,0.0002957975822669989,Income Composition Of Resources,0.6806261526464431,38.823453250456474
Birth Per Woman & Fdi & Military & Water,0.6864170966843572,0.6547314158221978,Fdi,-2.396361903273085,Water,0.014227433331023054,Military,-0.011809915701426633,Birth Per Woman,0.22280923108350087,57.89596682943076
Birth Per Woman & Military & Percentage Expenditure & Schooling,0.7011925214479172,0.6544850036919809,Percentage Expenditure,-3.3617723520916725,Birth Per Woman,0.14057007277511088,Military,0.0006746732671280287,Schooling,0.8676883020118793,68.00082249300624
Alcohol & Military & Population & Water,0.6288971775769332,0.6538492542203872,Alcohol,0.16171247843433675,Water,-0.04723117632279259,Military,-4.02129082810454e-09,Population,0.3691291296230264,38.354665097666455
Income Composition Of Resources & Military & Percentage Expenditure & Population,0.6586791025472986,0.6531379031009782,Percentage Expenditure,42.30299718587659,Income Composition Of Resources,0.3504296879193918,Military,0.00033330551950972733,Population,1.1878570349566075e-10,41.1923469728685
Birth Per Woman & Fdi & Military & Schooling,0.6809496040251363,0.6514354802664687,Fdi,-3.2544289461599596,Birth Per Woman,0.012525359546781023,Military,0.22732290821535953,Schooling,1.1018639977723301,65.00223491816739
Military & Population & Total Expenditure & Water,0.6364212248575287,0.6499212552488607,Total Expenditure,-0.16484705279991332,Water,-2.989713804341471e-09,Military,0.36040304129101114,Population,0.3938543738339313,34.80637884805824
Fdi & Military & Total Expenditure & Water,0.6348643400876639,0.6497504604231779,Total Expenditure,0.015222138110391688,Water,-0.013106291233946021,Military,0.2600815902967921,Fdi,0.39118295815207815,35.25770646534237
Birth Per Woman & Military & Schooling & Total Expenditure,0.6835144309847104,0.6476936990641948,Total Expenditure,-3.254310711423782,Birth Per Woman,0.22058768800097373,Military,1.020057780089254,Schooling,0.18749630095810543,65.08391863423023
Fdi & Income Composition Of Resources & Military & Percentage Expenditure,0.6615064770599345,0.6450668521157702,Percentage Expenditure,0.010774557559118,Fdi,43.51938971430734,Military,0.2023436421304908,Income Composition Of Resources,0.00041726626189131366,40.423363799446626
Income Composition Of Resources & Military & Percentage Expenditure & Water,0.7443035343666808,0.6436413725486146,Percentage Expenditure,27.967998918910173,Water,0.07229135233836621,Military,0.00046515257859497394,Income Composition Of Resources,0.1840296895147063,35.45376653427985
Alcohol & Birth Per Woman & Fdi & Military,0.6204392957967708,0.6402535282616632,Alcohol,0.10106972537053678,Birth Per Woman,-4.631499312332592,Military,0.01747090056516054,Fdi,0.1598686428558984,82.04109010784651
Gdp & Military & Total Expenditure & Water,0.6780946809956168,0.6401762525148013,Total Expenditure,0.0001498117256462898,Water,-0.12310749195668896,Military,0.18797429294246024,Gdp,0.3603021017874306,37.694380559653816
Birth Per Woman & Military & Population & Total Expenditure,0.6304774145909393,0.6401231927781064,Total Expenditure,-4.8453535353347,Birth Per Woman,0.19967038610073365,Military,-3.2772275448955668e-09,Population,0.30072257267949043,81.5142577433261
Gdp & Income Composition Of Resources & Military & Total Expenditure,0.6658322136637007,0.6381425872965534,Total Expenditure,4.834571595122064e-05,Income Composition Of Resources,43.18123229952931,Military,0.27732849115044633,Gdp,0.13679176611039878,39.953507075727174
Gdp & Income Composition Of Resources & Military & Percentage Expenditure,0.6643402480084831,0.6376402158600214,Percentage Expenditure,-7.697201027410072e-06,Income Composition Of Resources,43.53258521865383,Military,0.33512466741995994,Gdp,0.0004271178441612733,40.39659207961381
Fdi & Income Composition Of Resources & Military & Schooling,0.6718597459323165,0.6362077840689003,Fdi,0.012406635464349003,Schooling,40.26743526662557,Military,0.2756548675804744,Income Composition Of Resources,0.401907327124583,37.84085265212347
Birth Per Woman & Gdp & Military & Total Expenditure,0.6808912559661373,0.6338653511977221,Total Expenditure,-4.335522480209667,Birth Per Woman,0.00015313293596595876,Military,0.2466081441261512,Gdp,0.3715053055739414,78.71501898344809
Alcohol & Birth Per Woman & Military & Population,0.6250436534770353,0.6311678612488032,Alcohol,0.10368661157104536,Birth Per Woman,-4.718597814983317,Military,0.11042249598035736,Population,-3.853951824339674e-09,82.65601102176953
Military & Schooling & Total Expenditure & Water,0.6939022850310312,0.6304678872382498,Total Expenditure,0.00497378133465797,Water,1.0349567110945732,Military,0.15777422069446825,Schooling,0.2783306158451416,32.552630970936185
Income Composition Of Resources & Military & Population & Schooling,0.674546024862005,0.6255937583653305,Schooling,39.66626717034788,Income Composition Of Resources,0.22166983504193805,Military,7.309393368348793e-10,Population,0.42680472694230853,38.00553668552556
Birth Per Woman & Fdi & Military & Percentage Expenditure,0.6760564903769979,0.6220072751434081,Percentage Expenditure,-4.670043419497058,Birth Per Woman,0.01341900859874769,Military,0.1357080090460657,Fdi,0.0009400068421791495,82.15082962572451
Birth Per Woman & Gdp & Military & Population,0.6840914750330824,0.6148066729860407,Population,-4.41803760259077,Birth Per Woman,0.0001561961728788561,Military,0.13938282836660906,Gdp,-3.3405395244965903e-09,81.38548517435726
Alcohol & Fdi & Military & Water,0.6460108251815624,0.6104056450242386,Alcohol,0.13836199899821044,Water,0.015914908408514117,Military,-0.18760150953647245,Fdi,0.37406376242210093,37.80977400410104
Alcohol & Fdi & Military & Schooling,0.5375633178498812,0.5950885837952355,Alcohol,-0.09229362244555653,Fdi,0.021420693313589867,Military,0.07618095376845577,Schooling,2.4550667006922695,39.780272220037965
Birth Per Woman & Fdi & Military & Population,0.6353119729464474,0.5935065170120739,Fdi,-4.944266687836034,Birth Per Woman,0.012429992375871073,Military,0.17794220380119805,Population,-4.006479656717965e-09,83.75774191716528
Gdp & Military & Percentage Expenditure & Schooling,0.5474546280008505,0.5898086380334304,Percentage Expenditure,5.599934981558188e-05,Schooling,0.18043365881928985,Military,0.00023497010061393486,Gdp,2.1531663801640932,42.51794386629133
Fdi & Income Composition Of Resources & Military & Population,0.6736352556766654,0.5883062889116752,Fdi,0.011794402122538745,Income Composition Of Resources,46.31093220778961,Military,0.08626303835729353,Population,1.4519869750984071e-09,39.1186970947022
Military & Percentage Expenditure & Population & Schooling,0.5592517719879702,0.5605416165744443,Percentage Expenditure,0.09330248243376128,Schooling,0.0005891097557893599,Military,2.0352994249813947e-09,Population,2.2164854845014967,41.72279161641409
Gdp & Military & Schooling & Total Expenditure,0.5598184060836886,0.559861232363095,Total Expenditure,0.00010054240625051428,Schooling,0.16121493134815723,Military,2.171544209763751,Gdp,-0.09012529548470077,42.51278610741787
Alcohol & Military & Population & Schooling,0.5499253597618576,0.5484759211024335,Alcohol,-0.08125311300090239,Schooling,0.056372124088961834,Military,1.8053182282429248e-09,Population,2.4331971732971422,39.99790405360299
Fdi & Gdp & Military & Schooling,0.5671598900360854,0.5439965054986764,Fdi,0.02536251535479429,Schooling,9.200366578181044e-05,Military,0.20220565770502974,Gdp,2.211074578775637,41.24828169027476
Alcohol & Gdp & Military & Schooling,0.569506045594185,0.543548493902313,Alcohol,-0.187258005143246,Schooling,0.00010524805550358898,Military,0.05899245581882021,Gdp,2.3421276510868867,40.82778214497227
Fdi & Military & Percentage Expenditure & Schooling,0.5689029161533229,0.5434298510532509,Percentage Expenditure,0.019032928498009683,Fdi,0.22618049841481935,Military,0.0005911508426595657,Schooling,2.1315584215873553,42.541359100147446
Gdp & Military & Population & Schooling,0.5655641428623921,0.5423882607992274,Schooling,9.456886092201478e-05,Population,0.17534081041205327,Military,1.422275519580296e-09,Gdp,2.227441369717259,41.28325980276084
Fdi & Military & Population & Schooling,0.5549687891369206,0.5387225135999052,Fdi,0.02855634755508011,Schooling,0.17971632655688036,Military,1.7781334460398313e-09,Population,2.368577551664134,39.87730323202635
Alcohol & Fdi & Income Composition Of Resources & Military,0.6968820403842756,0.5261241311412188,Alcohol,-0.16042191077563675,Fdi,0.01092156260383459,Military,49.374880398658846,Income Composition Of Resources,0.2040467895300903,37.68464015324325
Fdi & Gdp & Income Composition Of Resources & Military,0.6940633428656204,0.5209198978220502,Fdi,0.008824457981086848,Income Composition Of Resources,3.068519006873215e-05,Military,45.87028271574542,Gdp,0.2274864168741286,38.980233537410555
Military & Population & Schooling & Total Expenditure,0.5596276528132362,0.5170501487853659,Total Expenditure,0.11600342558853327,Schooling,1.2686729677166243e-09,Military,2.357277157555589,Population,0.04226118994501964,40.15229436999335
Fdi & Military & Schooling & Total Expenditure,0.5668078895038716,0.5056714529093563,Total Expenditure,0.02095277364281301,Fdi,0.15628955576233428,Military,2.395539773298232,Schooling,-0.06614729609759096,40.072782612113265
Gdp & Military & Population & Total Expenditure,0.1814508625550031,0.2895874611151553,Total Expenditure,0.0003037017775805627,Population,-0.0009886514635195159,Military,-1.1771007116072318e-09,Gdp,0.5063326680122358,64.93736691629559
Alcohol & Gdp & Military & Population,0.2684890705051982,0.24843581701315154,Alcohol,0.6456838493423316,Population,0.00025152614571792597,Military,0.32238665904812464,Gdp,-2.019451645295621e-10,64.36562479209134
Alcohol & Fdi & Gdp & Military,0.2754961188663433,0.2417143970392136,Alcohol,0.6794141521216569,Fdi,0.02132086194050596,Military,0.00022841730541530575,Gdp,-0.0073545355950591345,64.85219209646179
Gdp & Military & Percentage Expenditure & Population,0.1886498872596487,0.2340125867200744,Percentage Expenditure,0.00046620272760874456,Population,0.0058113826644854705,Military,-0.0011115429281403633,Gdp,-2.097142320911516e-09,67.86371912123815
Fdi & Gdp & Military & Population,0.19987665021719844,0.21347761925609535,Fdi,0.02791800980573049,Population,0.0003168784529129336,Military,0.12874628433326182,Gdp,-1.9453427370494034e-09,67.36624753887536
Fdi & Gdp & Military & Total Expenditure,0.21240574102617482,0.2133961787757208,Total Expenditure,0.020729421819113837,Fdi,0.00030676196345959657,Military,-0.07202171292228772,Gdp,0.3987735024628278,65.68479887286426
Fdi & Gdp & Military & Percentage Expenditure,0.20395884833892808,0.20759516742145578,Percentage Expenditure,0.021665659860024174,Fdi,0.00042423258889358285,Military,-0.13398554068968724,Gdp,-0.0007125820031699025,67.862405287522
Alcohol & Fdi & Military & Population,0.20908369335236,0.12402564385886118,Alcohol,1.0002132321471362,Fdi,0.038404843161466744,Military,0.27173385120123555,Population,1.2038685326398735e-10,64.24008681353655
Fdi & Military & Percentage Expenditure & Population,0.19393733032759064,0.11316287167804273,Percentage Expenditure,0.03127614267620812,Fdi,-0.010618346968914717,Military,0.0022261866462879123,Population,-1.7679901709310997e-09,67.9422305345883
Fdi & Military & Population & Total Expenditure,0.051585094964670446,0.006172206091081933,Total Expenditure,0.03563393341051145,Fdi,0.05706605758718469,Military,-4.630083261236706e-10,Population,0.7678615614064768,64.7204875654514
