,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,Other Variable2,Coefficent3,y intercept
Income Composition Of Resources & Schooling & Total Expenditure,0.6593092409682353,0.6721940825423672,Schooling,34.195248503679444,Income Composition Of Resources,0.679355921499964,Total Expenditure,0.09387084830519882,38.50275575923496
Birth Per Woman & Military & Water,0.6785320865386482,0.6714749091405419,Water,-2.4474352071794168,Military,-0.06350580573618056,Birth Per Woman,0.2248116526419884,58.08590380331381
Alcohol & Schooling & Water,0.6840247082059623,0.6711980105061934,Alcohol,-0.10854178586159734,Water,1.129183539810752,Schooling,0.27459876593396015,33.250929679584736
Birth Per Woman & Fdi & Schooling,0.6736709264986493,0.6709687892081911,Birth Per Woman,-3.304363388346642,Fdi,0.014725342199220504,Schooling,1.056937655495138,66.07556975321944
Gdp & Percentage Expenditure & Water,0.6636240995938496,0.6708702913156407,Percentage Expenditure,8.331259996765626e-05,Water,0.0004721978223879977,Gdp,0.3539084332622391,39.09581296040046
Alcohol & Fdi & Water,0.6242777068835998,0.6699560166716421,Alcohol,0.18612616134244644,Water,0.01507141530756162,Fdi,0.36804288181905465,37.85218618198607
Birth Per Woman & Military & Schooling,0.6735995348075754,0.6694122122895805,Birth Per Woman,-3.2899661253384154,Military,0.12283760514503517,Schooling,1.1032992928872836,65.32034135954132
Gdp & Population & Water,0.6651556288573187,0.6693485966686895,Water,0.00015047429316878864,Population,-3.4486404687856046e-09,Gdp,0.3562921006332679,39.07398753243059
Gdp & Income Composition Of Resources & Percentage Expenditure,0.6483990161092159,0.6673416580717683,Percentage Expenditure,4.318554856828535e-05,Income Composition Of Resources,41.83113860834956,Gdp,0.00011484793230209789,42.110090869648644
Income Composition Of Resources & Military & Schooling,0.6582720428890925,0.6667615172558496,Schooling,29.430873616021167,Military,0.2902730607018982,Income Composition Of Resources,0.9549100502114007,38.332262655611224
Alcohol & Birth Per Woman & Schooling,0.6773079490572249,0.6662909533621915,Alcohol,-0.2179341275610472,Birth Per Woman,-3.326182532148606,Schooling,1.3024335076376485,64.19270417258184
Percentage Expenditure & Schooling & Water,0.7010181932792015,0.6658469199154702,Percentage Expenditure,0.0006552129920586592,Water,0.8110716883316382,Schooling,0.2848205848550126,35.3540598454691
Percentage Expenditure & Status Developed & Water,0.6788931935905145,0.6657677813468501,Percentage Expenditure,0.000693383352169135,Status Developed,2.824374978658308,Water,0.3518105192145753,39.24401117185574
Gdp & Income Composition Of Resources & Total Expenditure,0.6524144513657653,0.6656256912701581,Income Composition Of Resources,5.372914767353713e-05,Gdp,41.845381261443634,Total Expenditure,0.19774315820858845,40.93625310263341
Fdi & Income Composition Of Resources & Schooling,0.6615411241290762,0.6653551581042968,Fdi,0.01140374346311806,Schooling,34.35174500582782,Income Composition Of Resources,0.6810059790399237,38.833484779330135
Birth Per Woman & Schooling & Total Expenditure,0.6757516936177066,0.6651807248978597,Birth Per Woman,-3.318459427224125,Schooling,0.9608861032661352,Total Expenditure,0.20449712010445048,66.28734637764607
Birth Per Woman & Population & Water,0.6820148520455149,0.6640725643169259,Water,-2.605511627800973,Birth Per Woman,-4.42784372652621e-09,Population,0.22114593796828658,58.835522511501864
Alcohol & Income Composition Of Resources & Water,0.7283333698152337,0.6639731997318642,Alcohol,-0.20864052001769712,Water,32.319662662324625,Income Composition Of Resources,0.18798891430939335,33.83163036057934
Military & Status Developed & Water,0.6579914869427299,0.6613490949229497,Water,-0.10934728796343762,Status Developed,4.232852950800748,Military,0.36132467552918435,38.89052884263282
Military & Percentage Expenditure & Water,0.6659295010362394,0.6612596832526494,Percentage Expenditure,-0.10169640627117267,Military,0.0008332734327724583,Water,0.36535836853681547,38.63356739717075
Birth Per Woman & Total Expenditure & Water,0.689845440905736,0.6608287275442949,Water,-2.7778411981112843,Birth Per Woman,0.4141515967432528,Total Expenditure,0.19519639591018406,58.789025209663
Birth Per Woman & Gdp & Schooling,0.6992821200686213,0.6597215683274948,Birth Per Woman,-3.3723328078503387,Schooling,0.00010230372763015262,Gdp,0.812151213481619,68.82335747349825
Birth Per Woman & Status Developed & Total Expenditure,0.639311878802898,0.6595730747386523,Birth Per Woman,-4.484370161045262,Status Developed,3.4373457870428643,Total Expenditure,0.2723001385948183,80.2771419188701
Fdi & Percentage Expenditure & Water,0.6687033297180885,0.6565019398626217,Percentage Expenditure,0.0210049785352055,Water,0.0008379208133425181,Fdi,0.3681570393383778,38.11486107742055
Population & Schooling & Water,0.686474784419959,0.655861350694051,Water,-1.5431717262869848e-09,Schooling,1.1117375863022363,Population,0.26282103690442515,34.07186312076251
Income Composition Of Resources & Percentage Expenditure & Schooling,0.6679737805660879,0.6557411265765211,Percentage Expenditure,35.327022908577014,Schooling,0.00025658151536846565,Income Composition Of Resources,0.5632966400627262,39.52203923011544
Fdi & Military & Water,0.625742989454873,0.6556696407247342,Water,0.016823186979563306,Military,-0.13581098505945188,Fdi,0.38316571978528663,37.60301600581926
Income Composition Of Resources & Military & Total Expenditure,0.6548519178148393,0.6545266022175943,Income Composition Of Resources,44.55130337449751,Military,0.21933533168875097,Total Expenditure,0.22589214190763027,38.88800616056227
Birth Per Woman & Military & Total Expenditure,0.6243177961324249,0.6539531582893182,Birth Per Woman,-4.769349040905002,Military,0.10641966038465006,Total Expenditure,0.3284715305235556,81.21424296682844
Alcohol & Gdp & Water,0.6697589415539134,0.6517597209626903,Alcohol,-0.006383581462500375,Water,0.00014800958990857668,Gdp,0.3592887551763715,38.743223901519144
Alcohol & Military & Water,0.6319256829690898,0.6475792772480333,Alcohol,0.17585507527743713,Military,-0.17367720015959237,Water,0.3779962032200689,37.46637866611632
Birth Per Woman & Military & Status Developed,0.6378108830949305,0.64701888098765,Birth Per Woman,-4.4854136183977085,Status Developed,0.14550487109076737,Military,3.3240433991762615,81.85017435143277
Income Composition Of Resources & Status Developed & Total Expenditure,0.6563519982117662,0.6460391219464583,Income Composition Of Resources,43.272411154162796,Status Developed,1.3191121637180803,Total Expenditure,0.11324107777801351,40.53346343864868
Birth Per Woman & Gdp & Military,0.6707843060548793,0.6457308030806301,Birth Per Woman,-4.4789378302596585,Military,0.00016578945489243032,Gdp,0.11856368445178464,81.49629751994712
Birth Per Woman & Population & Total Expenditure,0.628595679507419,0.6439279808680612,Birth Per Woman,-4.73102321802012,Population,-2.9634844686855315e-09,Total Expenditure,0.3854654291861995,80.99083812221424
Military & Schooling & Water,0.692096202439356,0.6427450937347021,Water,-0.04877710206734289,Military,1.0792118758625169,Schooling,0.2575466627414501,35.012173473674856
Alcohol & Status Developed & Water,0.6650334510427078,0.6421754624139462,Alcohol,-0.04577111763362058,Status Developed,4.441195077692813,Water,0.3689164843559869,38.29075940709822
Income Composition Of Resources & Population & Water,0.7366049187185632,0.6418954308057279,Water,25.94926799443003,Income Composition Of Resources,-1.4371052532303714e-09,Population,0.21916540728593153,34.379053029830516
Gdp & Income Composition Of Resources & Schooling,0.671106233135291,0.6414225842669313,Schooling,4.245162032622388e-05,Income Composition Of Resources,37.5246788207526,Gdp,0.43768016534450993,39.61522817271119
Alcohol & Gdp & Income Composition Of Resources,0.6607935087174176,0.6404390599837206,Alcohol,-0.13692729847188395,Income Composition Of Resources,6.208289709955434e-05,Gdp,43.66935606026757,41.75365760881909
Birth Per Woman & Gdp & Percentage Expenditure,0.6718106516745324,0.6395280910400022,Percentage Expenditure,-4.500380786817416,Birth Per Woman,0.00016208040798663918,Gdp,-1.696228580335661e-05,81.62951358446507
Birth Per Woman & Gdp & Status Developed,0.6749323770710494,0.6383280001195779,Birth Per Woman,-4.306841427504903,Status Developed,0.0001624395059666212,Gdp,1.220735427233581,81.04688084741647
Status Developed & Total Expenditure & Water,0.6697829839690649,0.6366357081832357,Water,4.2896215836983975,Status Developed,0.18879129640479136,Total Expenditure,0.3551596527831247,38.0669538135224
Birth Per Woman & Percentage Expenditure & Population,0.668890907854954,0.6357942064978701,Percentage Expenditure,-4.669234359768261,Birth Per Woman,0.0009263088368674177,Population,-2.826097888260909e-09,82.35321361968465
Military & Total Expenditure & Water,0.6403652086504051,0.6335685016897938,Water,-0.16211743391282118,Military,0.3013772602520772,Total Expenditure,0.37821754015096826,36.60541430102509
Alcohol & Birth Per Woman & Military,0.6224761157967278,0.6320463295051513,Alcohol,0.13277093906865425,Military,-4.713684465624649,Birth Per Woman,0.16972426840519317,82.21797892726363
Fdi & Income Composition Of Resources & Percentage Expenditure,0.6634152077141223,0.6317087764632556,Percentage Expenditure,0.008670247754519382,Fdi,43.590314640511195,Income Composition Of Resources,0.0003123795400625795,40.928018268265994
Fdi & Gdp & Income Composition Of Resources,0.6630988214944762,0.6312703791737371,Fdi,0.010207123673835266,Income Composition Of Resources,4.3618541992281284e-05,Gdp,43.57759929559189,40.865969167445584
Alcohol & Birth Per Woman & Total Expenditure,0.6338652703959362,0.6289054543428416,Alcohol,0.07377394600242973,Birth Per Woman,-4.685157443510895,Total Expenditure,0.33864270462871904,80.88002960315424
Birth Per Woman & Fdi & Military,0.6244916206644822,0.6255973382690957,Birth Per Woman,-4.897540086841722,Military,0.021346415645141517,Fdi,0.11741644509321446,83.43696340858598
Income Composition Of Resources & Percentage Expenditure & Total Expenditure,0.6649598802137793,0.6253920410166819,Percentage Expenditure,43.77061781220943,Income Composition Of Resources,0.00029796856065984387,Total Expenditure,0.18971320898113417,39.760797226489686
Percentage Expenditure & Total Expenditure & Water,0.6845905812970852,0.6242526004704498,Percentage Expenditure,0.0008849769573583478,Water,0.24264860211464423,Total Expenditure,0.3569538377016649,37.68678255024694
Birth Per Woman & Percentage Expenditure & Schooling,0.7031685649429561,0.623912726623872,Percentage Expenditure,-3.545622316720772,Birth Per Woman,0.0007927082220246543,Schooling,0.774947559574183,69.66548012336149
Birth Per Woman & Gdp & Population,0.674816391421323,0.6237415723715958,Birth Per Woman,-4.628176977677957,Population,0.00017014322206301851,Gdp,-2.846097707661331e-09,81.95855044965157
Alcohol & Birth Per Woman & Fdi,0.627334644392294,0.6232886990446054,Alcohol,0.08768726085283246,Birth Per Woman,-4.687282320246883,Fdi,0.01481441112891968,82.6445538645975
Alcohol & Income Composition Of Resources & Total Expenditure,0.6653864023638303,0.621134280628642,Alcohol,-0.1677874933741294,Income Composition Of Resources,47.41971587075457,Total Expenditure,0.20005608496233407,38.29915735063642
Alcohol & Total Expenditure & Water,0.6476069278123988,0.6204928906346193,Alcohol,0.15173330858112621,Water,0.2990938020462966,Total Expenditure,0.3763187357204712,35.71092553049008
Military & Population & Water,0.6388938341833876,0.6178844381930092,Water,-0.14889537775986517,Military,-4.096405867779386e-09,Population,0.3928101303353574,37.093827843219714
Alcohol & Population & Water,0.642052591672787,0.6177924890071411,Alcohol,0.16839782149471894,Water,-3.586651253071444e-09,Population,0.3818162787990824,36.922658087806944
Fdi & Income Composition Of Resources & Military,0.6672145143373913,0.6125343620309666,Fdi,0.012354218745115773,Military,45.40402649284678,Income Composition Of Resources,0.3071051230009587,39.455376290062574
Fdi & Status Developed & Water,0.6778969840799636,0.6079695361163496,Water,0.002722212931633734,Status Developed,4.398011066639601,Fdi,0.35791746741011377,39.04442013705595
Gdp & Income Composition Of Resources & Status Developed,0.6720616804372577,0.6078794902203335,Income Composition Of Resources,4.14126359089738e-05,Status Developed,43.18902360578889,Gdp,0.4538062838203203,41.1374696489308
Population & Total Expenditure & Water,0.6488699942300464,0.6063303301302794,Water,-3.1675296948453058e-09,Population,0.3052468570325334,Total Expenditure,0.3936399454375027,34.87025304196475
Alcohol & Income Composition Of Resources & Status Developed,0.6757082480069865,0.6061562828855793,Alcohol,-0.2665402125203427,Status Developed,46.91341513941283,Income Composition Of Resources,2.4055637682297117,39.952335191592006
Fdi & Income Composition Of Resources & Status Developed,0.6695252928627393,0.6048001138238936,Fdi,0.007562595228376876,Status Developed,44.754782542841134,Income Composition Of Resources,0.6822054797614356,40.33540539228087
Birth Per Woman & Fdi & Status Developed,0.6523942815455444,0.6030915261068343,Birth Per Woman,-4.4222445744651715,Status Developed,0.008876304252677159,Fdi,3.364511492808234,81.89719231803363
Birth Per Woman & Population & Status Developed,0.6512754472168012,0.5983242929605254,Birth Per Woman,-4.5947221164200736,Status Developed,-3.0119921385926937e-09,Population,3.2423393372580156,82.51488893443931
Alcohol & Birth Per Woman & Population,0.6335014412011287,0.5963736378705375,Alcohol,0.07585895801645527,Birth Per Woman,-4.7994992486843095,Population,-3.654819558107647e-09,83.20284373136725
Income Composition Of Resources & Population & Total Expenditure,0.668998770075989,0.5954753529948152,Income Composition Of Resources,44.804644933107326,Population,5.842858360275279e-10,Total Expenditure,0.14085998758527724,39.55612068435334
Income Composition Of Resources & Military & Percentage Expenditure,0.6771358994807632,0.5951761355540925,Percentage Expenditure,44.82626860983292,Military,0.3928023704031512,Income Composition Of Resources,0.0002967881062126976,39.42089363400601
Birth Per Woman & Military & Population,0.634867537748532,0.5945904518737372,Birth Per Woman,-4.8738129219952695,Military,0.09103772781526727,Population,-4.023169977718233e-09,83.68971092032213
Fdi & Population & Schooling,0.536921866579712,0.5912185673027415,Fdi,0.03325819511765438,Schooling,2.1751980972561194e-09,Population,2.318232430912472,40.82642816002762
Percentage Expenditure & Schooling & Total Expenditure,0.5468288295461474,0.5909126432849082,Percentage Expenditure,0.0006100364193749636,Schooling,2.2291656800482413,Total Expenditure,-0.02592996592916741,41.8696411238582
Percentage Expenditure & Schooling & Status Developed,0.553495473340022,0.5839194701244435,Percentage Expenditure,0.0005119062880470889,Status Developed,2.155361372741654,Schooling,1.469951918892714,42.59542060150521
Fdi & Military & Schooling,0.5427767984420568,0.5761065603712427,Fdi,0.023777381785112853,Military,0.1620326110043695,Schooling,2.3360071479690734,40.451561164481745
Fdi & Percentage Expenditure & Schooling,0.5569613729783425,0.5748825363544539,Percentage Expenditure,0.018735537220154138,Fdi,0.00048113750248489524,Schooling,2.2269460645637373,41.686822447843284
Alcohol & Fdi & Income Composition Of Resources,0.6778276188704604,0.5740474805933722,Alcohol,-0.1321804529166751,Fdi,0.016554965383169584,Income Composition Of Resources,47.21082441387184,39.409467949000685
Alcohol & Schooling & Total Expenditure,0.5385895303379966,0.5736995402628002,Alcohol,-0.12371102110135522,Schooling,2.430465740674234,Total Expenditure,-0.04410392578731781,40.82433134378913
Fdi & Population & Water,0.6579686884841579,0.5704697228500926,Water,0.01816979497874883,Fdi,-5.2002706238523325e-09,Population,0.3929786145578027,36.815368348094594
Fdi & Income Composition Of Resources & Total Expenditure,0.6784085531166899,0.5683941945311439,Fdi,0.007966511310713898,Income Composition Of Resources,46.077117800535135,Total Expenditure,0.1370358870568893,38.82702510585651
Schooling & Status Developed & Total Expenditure,0.5484638925962684,0.5678825180964426,Schooling,2.2175835680705176,Status Developed,2.3230902086320446,Total Expenditure,-0.05127965049471728,42.285234026315194
Gdp & Schooling & Total Expenditure,0.5570652475898454,0.5660659259950596,Schooling,8.950717031727571e-05,Gdp,2.1609352538221547,Total Expenditure,-0.0317860659501471,42.73181936484356
Alcohol & Income Composition Of Resources & Population,0.6783495054240485,0.565546462901712,Alcohol,-0.19550626110063532,Income Composition Of Resources,49.36126518351853,Population,1.8459189732311643e-10,38.28066288164641
Alcohol & Gdp & Schooling,0.564593904750686,0.5622650634483704,Alcohol,-0.20830869676325484,Schooling,0.0001117686715076141,Gdp,2.300510819998067,41.70039051204421
Fdi & Schooling & Status Developed,0.5544104391878508,0.5568962463508155,Fdi,0.016822465556845627,Status Developed,2.225614624000217,Schooling,2.0488393837372127,41.748975972206146
Military & Population & Schooling,0.5468235322360984,0.5509018903877025,Schooling,0.12141328686233524,Military,2.033667381998717e-09,Population,2.3793643356059926,40.1168290573731
Fdi & Schooling & Total Expenditure,0.5520648955304404,0.5481509750363679,Fdi,0.02365391635031587,Schooling,2.3537817451029603,Total Expenditure,-0.055338308440600725,40.916087907977214
Gdp & Schooling & Status Developed,0.5653424544038037,0.5476260962732878,Schooling,7.436982288759404e-05,Status Developed,2.1128849465141353,Gdp,1.346000690491428,43.012109455576834
Military & Percentage Expenditure & Schooling,0.563710246485539,0.547167484402195,Percentage Expenditure,0.2106790889329705,Military,0.000545646922819663,Schooling,2.2144550734396184,41.6739749063717
Population & Schooling & Status Developed,0.5547567904069414,0.5466201781595846,Schooling,1.4073514276256116e-09,Status Developed,2.260031319440541,Population,2.1872950587171043,41.45026242886203
Alcohol & Schooling & Status Developed,0.565148666328438,0.5436605413866558,Alcohol,-0.23596329846032751,Status Developed,2.3821728369574653,Schooling,2.9490330346608156,40.98506827056504
Military & Schooling & Status Developed,0.5572193011758984,0.5416335187766337,Schooling,0.13728384755118006,Status Developed,2.238317993713031,Military,2.2114031372259637,41.60127884591893
Alcohol & Fdi & Schooling,0.556864385462351,0.5397759278575807,Alcohol,-0.1486526085620963,Fdi,0.02146045360147464,Schooling,2.4957173241581905,39.45788050613091
