,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,y intercept
Birth Per Woman & Income Composition Of Resources,0.7342785851657854,0.6545011146399857,Birth Per Woman,-2.1362474194190986,Income Composition Of Resources,31.493872132286537,55.17050607090121
Birth Per Woman & Status Developed,0.6346275355994029,0.6522558862803987,Birth Per Woman,-4.527065657389979,Status Developed,3.5074429758114176,82.08028762384708
Status Developed & Water,0.6606753795175355,0.6521902192512621,Water,4.6318651155435635,Status Developed,0.3509449801085219,39.58123831215369
Percentage Expenditure & Water,0.6676767336248205,0.651684689798248,Water,0.0008711493389819582,Percentage Expenditure,0.37778299780481567,37.31838188527006
Alcohol & Birth Per Woman,0.6198591332436555,0.6387553112297504,Alcohol,0.09674030534998998,Birth Per Woman,-4.820164641125715,82.99050834422363
Birth Per Woman & Population,0.6252440260401964,0.6199482476849161,Birth Per Woman,-4.920220135413689,Population,-3.7958437282937785e-09,84.0530778614512
Income Composition Of Resources & Percentage Expenditure,0.6681634786903837,0.6104256648759215,Income Composition Of Resources,43.85169248028368,Percentage Expenditure,0.00030491743031470453,40.742697766691265
Fdi & Water,0.6424842265409727,0.6076427016181675,Water,0.016114228052217443,Fdi,0.39087322858388346,36.87419435447755
Military & Water,0.6412992752504215,0.6039379625346797,Military,-0.056698420533685165,Water,0.3869394130406817,37.41688065493524
Income Composition Of Resources & Population,0.6653615002159464,0.602927901212233,Income Composition Of Resources,46.27553821855341,Population,9.54678798540648e-10,39.375117310936076
Population & Water,0.6447983948976579,0.5965271027502586,Water,-4.043183806033742e-09,Population,0.3975668921803072,36.43672687671018
Income Composition Of Resources & Status Developed,0.6714766039356319,0.5832674982813122,Income Composition Of Resources,44.764009406403545,Status Developed,1.3403622195141862,40.143604100154036
Fdi & Schooling,0.5427909048812838,0.5731075609110357,Fdi,0.02825781456030143,Schooling,2.3368623930820434,40.68768441247763
Birth Per Woman & Fdi,0.6404753083010088,0.5704612094092198,Birth Per Woman,-5.002234208286223,Fdi,0.016762959617054277,84.07616791640888
Schooling & Total Expenditure,0.5441510443521174,0.5537612890444792,Schooling,2.316044407943183,Total Expenditure,-0.05451389038900705,41.59220143194304
Gdp & Schooling,0.5626376869063747,0.547897660101174,Schooling,8.944790634404758e-05,Gdp,2.1821874835162247,42.40689130243511
Alcohol & Schooling,0.5488679758679804,0.5468514154067645,Alcohol,-0.08650604991866863,Schooling,2.4121321830883082,40.485253135480136
Percentage Expenditure & Schooling,0.56512157198809,0.5392937034331644,Schooling,0.0006661725876577437,Percentage Expenditure,2.1766706371005538,42.443508248911854
Military & Schooling,0.553248672217643,0.5305866613869097,Military,0.1948160873335431,Schooling,2.3439498505016547,40.48251398652511
Schooling & Status Developed,0.5637214432184854,0.5178526726414239,Schooling,2.2579929950818936,Status Developed,2.0362880848492506,41.63218891243403
Population & Schooling,0.5572836735915407,0.5147221704667306,Schooling,1.910375264134697e-09,Population,2.40707322719866,39.99942119100166
Alcohol & Fdi,0.16402900323677405,0.25695228394523084,Alcohol,0.871132884649666,Fdi,0.03776880363967484,65.39105740434191
Alcohol & Gdp,0.26751280803716326,0.2546465611263974,Alcohol,0.6556264906222296,Gdp,0.00023382224270417987,65.18623265750949
Gdp & Status Developed,0.27766438655743364,0.250653463955278,Gdp,0.00022202586264431938,Status Developed,7.406678016537891,67.27895882931844
Gdp & Population,0.1812074540232339,0.24862592856209953,Population,0.0003204507571667694,Gdp,-2.331713854293574e-09,67.87633157077985
Percentage Expenditure & Status Developed,0.25524447037989695,0.24184616563037886,Percentage Expenditure,0.001140925101870093,Status Developed,7.6992317274790265,68.00375395843625
Military & Status Developed,0.18995518494163166,0.2392906888227545,Military,0.18302221923694711,Status Developed,10.837206805469684,67.63352869888163
Gdp & Total Expenditure,0.19874132103892272,0.23754634786327378,Gdp,0.0002953395497305916,Total Expenditure,0.39526571514139053,65.73264804572338
Gdp & Percentage Expenditure,0.19321934221256576,0.22348232291292014,Gdp,0.00044944689668444376,Percentage Expenditure,-0.000810467261111754,67.80671715212237
Population & Status Developed,0.19418713891021044,0.22308517214051116,Population,-1.5183374902885913e-09,Status Developed,10.716887793779538,67.95600251481008
Status Developed & Total Expenditure,0.20670357520799676,0.2218598193412277,Total Expenditure,10.200697499784292,Status Developed,0.43898232521254155,65.3768588648878
Alcohol & Status Developed,0.24519027447223318,0.21059649799173163,Alcohol,0.5757511327570262,Status Developed,6.825842986560625,65.96407908024715
Alcohol & Percentage Expenditure,0.2573367905017452,0.20697144030826042,Alcohol,0.7190323943051307,Percentage Expenditure,0.0012211693109948779,65.66743357217312
Fdi & Status Developed,0.2005999206538821,0.20566763448301092,Fdi,0.004780839708317876,Status Developed,10.7665233975422,68.01819328155885
Alcohol & Military,0.1751691477699624,0.1960427807821088,Alcohol,0.9254857069692725,Military,0.11459193186347182,64.96847242690878
Gdp & Military,0.200696306089987,0.18221016887508734,Military,0.0003092134071165918,Gdp,-0.08362254510295614,67.89851495038994
Percentage Expenditure & Total Expenditure,0.18845943454133474,0.16511878830869509,Total Expenditure,0.0017635617931394238,Percentage Expenditure,0.4788769069097373,65.6267790273308
Military & Percentage Expenditure,0.16702135389881645,0.16172171136736432,Military,0.08942890238766102,Percentage Expenditure,0.002072864905150294,67.85266290815358
Percentage Expenditure & Population,0.17264228853350083,0.16159353021714762,Population,0.0020305664940567405,Percentage Expenditure,-3.0567078502728786e-09,68.53450641202221
Alcohol & Population,0.17513455061019867,0.15994707007315978,Alcohol,0.901972066304018,Population,-8.742866688590569e-10,65.91576214397884
Alcohol & Total Expenditure,0.20089154362875916,0.15268860071850787,Alcohol,0.9081441030922582,Total Expenditure,0.49860858835460364,62.274088573801805
Fdi & Percentage Expenditure,0.1840139079342531,0.14985785653437833,Fdi,0.024929758200083276,Percentage Expenditure,0.002056557391964681,67.9274347063781
Fdi & Gdp,0.22351438900517703,0.14062518111228794,Fdi,0.03330317204373563,Gdp,0.0003388435733798344,67.54144222224498
Population & Total Expenditure,0.02705165938346132,0.05377835724543556,Population,-3.199886847416948e-09,Total Expenditure,0.6287076599124896,66.18622416997064
Fdi & Total Expenditure,0.05177067181879169,0.01841864158679607,Fdi,0.040014507557021434,Total Expenditure,0.7546391022442661,65.00907231630502
Fdi & Military,0.012812562844434439,0.013891704183807252,Military,0.04728932453727047,Fdi,-0.019907948080325265,69.71748347934536
Fdi & Population,0.018308676005889146,0.00296060957491584,Fdi,0.04611255410023383,Population,-3.4360784341843194e-09,69.62036672863553
Military & Population,0.0025278718803339872,-0.0015152301220768827,Military,-0.13967068435696078,Population,-4.603726313058561e-09,70.17924480652916
Military & Total Expenditure,0.05788705998459875,-0.042203786656743736,Military,-0.2044771480418107,Total Expenditure,0.9384167556445249,64.64250600760028
