,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,y intercept
Fdi & Income Composition Of Resources,0.6268208086805211,0.7135618432634732,Fdi,0.012719054841094018,Income Composition Of Resources,42.501300960510065,41.9894107996283
Birth Per Woman & Income Composition Of Resources,0.7209550328236606,0.7128232793141791,Birth Per Woman,-2.4429946720483073,Income Composition Of Resources,27.31886156961533,58.939169863969525
Thinness 5-9 Years & Water,0.6757521261673427,0.709378405824991,Water,-0.4896282215097941,Thinness 5-9 Years,0.34560943953035006,43.01077641786627
Schooling & Water,0.6695076371025774,0.7014020469086015,Water,1.0358536025815948,Schooling,0.26277855215221396,34.95217580017693
Birth Per Woman & Bmi,0.631226106486712,0.7012631468748414,Birth Per Woman,-4.012123330392704,Bmi,0.09475680120751508,77.54588506397485
Income Composition Of Resources & Measles,0.6281960707693672,0.6999177085786182,Income Composition Of Resources,43.049516103934074,Measles,8.226095315413604e-06,41.69956994892365
Income Composition Of Resources & Schooling,0.6506144298659784,0.6963334830260599,Schooling,32.598201674444425,Income Composition Of Resources,0.828894901218535,38.13831796720761
Birth Per Woman & Water,0.67006439607147,0.6931171260045732,Water,-2.445034919781325,Birth Per Woman,0.21874739380413952,58.39369910287556
Income Composition Of Resources & Polio,0.6404455592683861,0.6903066599280139,Income Composition Of Resources,42.74086202817571,Polio,0.028033754045561743,39.49333269125901
Income Composition Of Resources & Water,0.7200136604621803,0.6805105944497505,Water,28.399098837560263,Income Composition Of Resources,0.19706607632118134,34.63863576208871
Alcohol & Income Composition Of Resources,0.6452173258259342,0.6757575480058037,Income Composition Of Resources,-0.1408493711006811,Alcohol,46.60210125792609,39.91522942814793
Thinness 1-19 Years & Water,0.6756484593501474,0.6741265240134777,Water,-0.438731375956639,Thinness 1-19 Years,0.3538180661706107,42.031438761362196
Percentage Expenditure & Water,0.664197759302628,0.6668088000867753,Water,0.0009072314913659477,Percentage Expenditure,0.36449186999668626,38.43590502626954
Total Expenditure & Water,0.6266607228284726,0.6667015017365729,Water,0.28268841647305404,Total Expenditure,0.37905271005650126,36.1628173714806
Hepatitis B & Income Composition Of Resources,0.6473354897556411,0.6663840269011218,Income Composition Of Resources,0.016742430010976504,Hepatitis B,44.59077703092874,39.19109721481118
Birth Per Woman & Total Expenditure,0.6208512009130622,0.6649960352412857,Birth Per Woman,-4.807605791705318,Total Expenditure,0.38924493023735757,81.22997311740079
Income Composition Of Resources & Total Expenditure,0.6486239480212832,0.6640887523142025,Income Composition Of Resources,44.507553211441866,Total Expenditure,0.2357919177245096,39.174279378213654
Birth Per Woman & Fdi,0.6113453446979062,0.6629238078295898,Birth Per Woman,-4.857226205057998,Fdi,0.016156626478503324,83.47601414962371
Birth Per Woman & Percentage Expenditure,0.6612648748895523,0.6606910600201749,Birth Per Woman,-4.516210478558325,Percentage Expenditure,0.0009073023018245321,81.99257082671456
Income Composition Of Resources & Thinness 1-19 Years,0.6613176164096864,0.6583030811059336,Income Composition Of Resources,41.103717359158885,Thinness 1-19 Years,-0.22506063483886365,44.0114710614431
Gdp & Water,0.668231036675387,0.6559732466623077,Water,0.00013710370787856313,Gdp,0.3675580583370254,38.07187564959861
Birth Per Woman & Thinness 1-19 Years,0.6598434012405577,0.6556219619147725,Birth Per Woman,-4.419674407508656,Thinness 1-19 Years,-0.39849943554475586,84.16404060385224
Birth Per Woman & Gdp,0.6673285498565156,0.6533907440078011,Birth Per Woman,-4.3534096702468466,Gdp,0.00016862553131666774,81.25555132715596
Population & Water,0.6253913732433465,0.6530545661017606,Water,-4.6461023821897975e-09,Population,0.39194286847618487,36.92707649111792
Gdp & Income Composition Of Resources,0.6566577057059231,0.6460695283650857,Income Composition Of Resources,4.344108544792714e-05,Gdp,43.345177469327155,41.12503353184393
Measles & Water,0.6251313518761443,0.6451614027356944,Water,-2.3356046925895188e-05,Measles,0.3794009266835295,37.96116317002652
Adult Mortality & Gdp,0.5865543620794623,0.6436442066568802,Adult Mortality,-0.04643366272597988,Gdp,0.0001960475757330254,76.17610193856608
Infant Deaths & Water,0.6359885448432858,0.643587035767376,Water,-0.006054025982932464,Infant Deaths,0.3830747988444767,37.91536016833079
Diphtheria & Water,0.6349630602549494,0.6429770065729199,Water,0.03442531353359324,Diphtheria,0.3757417100949745,35.22699743085979
Under-Five Deaths & Water,0.6379432640030549,0.6425569471577729,Water,-0.004646063760626543,Under-Five Deaths,0.38599773672878124,37.526239020105365
Income Composition Of Resources & Under-Five Deaths,0.6548135055915968,0.6396468617361878,Income Composition Of Resources,44.964110146585604,Under-Five Deaths,-0.0016094696411708472,40.272364419398414
Birth Per Woman & Schooling,0.6789286013149429,0.6389828281357943,Birth Per Woman,-3.52078465946106,Schooling,1.0290770746777684,66.95906587840818
Income Composition Of Resources & Military,0.6572023266341553,0.6385596425440629,Income Composition Of Resources,44.83505837556053,Military,0.27566330716966375,39.98768361990997
Bmi & Water,0.6619013940014258,0.6381765799404008,Water,0.08790710007310498,Bmi,0.3497276450711372,37.001870714964014
Military & Water,0.6300454212675559,0.6301919788959749,Water,-0.14802492509121312,Military,0.38526978617263363,37.894097095256846
Alcohol & Birth Per Woman,0.62293300545468,0.6299868196586476,Birth Per Woman,0.1159952342046588,Alcohol,-4.79013471817739,82.85094005186204
Adult Mortality & Fdi,0.5030148366154854,0.6295617072673951,Adult Mortality,-0.04962672709869126,Fdi,0.01662852296660611,77.70540360126336
Polio & Water,0.6355581207745844,0.6288610242960565,Water,0.018286765289698574,Polio,0.37975426346927627,36.39056957058037
Birth Per Woman & Diphtheria,0.6284016541241999,0.6281411035373416,Birth Per Woman,-4.631360956389926,Diphtheria,0.0389556380148171,79.73357781583599
Income Composition Of Resources & Infant Deaths,0.6581498203054774,0.6241927489524033,Income Composition Of Resources,45.10919164221249,Infant Deaths,-0.0010483122997335865,40.21813451179519
Hepatitis B & Water,0.6348506040146715,0.6225138417255892,Water,0.00956831049679126,Hepatitis B,0.39650526178897433,35.75381987337484
Adult Mortality & Alcohol,0.6127239183848104,0.6173402323894861,Adult Mortality,-0.047661145858092835,Alcohol,0.5878317895723839,74.79498644120609
Birth Per Woman & Measles,0.6289139484936536,0.6169536037177539,Birth Per Woman,-4.895345836023024,Measles,-4.1993499365132764e-05,84.04066320731488
Fdi & Water,0.6405042942695709,0.6144778335539176,Water,0.021674666837146975,Fdi,0.39409106354547707,36.50346359254233
Alcohol & Water,0.6428690965240522,0.6098448980907986,Water,0.17125061366628827,Alcohol,0.37587935755173935,37.27914558824736
Birth Per Woman & Under-Five Deaths,0.6342941818515726,0.6097393895319587,Birth Per Woman,-4.8150269975401745,Under-Five Deaths,-0.0035429314513667825,83.74698160917276
Birth Per Woman & Military,0.6286088624459841,0.6068609553840226,Birth Per Woman,-4.867751055950116,Military,0.12789106171194972,83.46001656064884
Birth Per Woman & Hepatitis B,0.6295731296150142,0.6066826858015412,Birth Per Woman,-4.898753559454832,Hepatitis B,0.010115476121464956,83.11892672735213
Birth Per Woman & Infant Deaths,0.6350947853977638,0.6060591972568059,Birth Per Woman,-4.833409786675098,Infant Deaths,-0.005125722579015663,83.74562160264782
Adult Mortality & Bmi,0.6517697450905218,0.6058397065684895,Adult Mortality,-0.04296745865567787,Bmi,0.16003936444271571,70.77629185655691
Schooling & Under-Five Deaths,0.5287018208094012,0.6035635699288312,Schooling,2.35091276762276,Under-Five Deaths,-0.0008490283261466292,40.74422701572679
Adult Mortality & Diphtheria,0.57698337252309,0.6011899981520343,Adult Mortality,-0.04908982672928557,Diphtheria,0.08913564709408517,70.4145803101838
Birth Per Woman & Population,0.6320101356854163,0.5959984918590481,Birth Per Woman,-4.887766659830965,Population,-3.8098631363646606e-09,83.94669390229367
Birth Per Woman & Polio,0.6371169888867338,0.591451268288874,Birth Per Woman,-4.745152887447966,Polio,0.015041129062121007,82.21276712641773
Bmi & Hiv/Aids,0.5638613318638996,0.58841950862902,Hiv/Aids,0.200588317381209,Bmi,-0.8604190757348108,63.80118004034196
Adult Mortality & Polio,0.5660503998323054,0.582821324636409,Adult Mortality,-0.047185577435172196,Polio,0.07991978154465777,70.94529036486963
Adult Mortality & Thinness 1-19 Years,0.6313142647604819,0.5819243072581166,Adult Mortality,-0.04587757380540136,Thinness 1-19 Years,-0.6364695113927038,80.49519334635465
Fdi & Schooling,0.5387397700561114,0.5818191186841849,Fdi,0.023950399130983943,Schooling,2.2901487045471867,41.45649454680829
Schooling & Thinness 1-19 Years,0.5600946175441485,0.5814123152121726,Schooling,2.055132605676833,Thinness 1-19 Years,-0.3608241088220292,46.14696512035562
Birth Per Woman & Thinness 5-9 Years,0.691262908370665,0.5812844786807954,Birth Per Woman,-4.437153919901793,Thinness 5-9 Years,-0.3914918107472683,84.30270316815384
Adult Mortality & Hiv/Aids,0.569038363672897,0.5708663461484008,Adult Mortality,-0.038369748642348725,Hiv/Aids,-0.5074217131489999,77.14044361858765
Diphtheria & Schooling,0.5578490549657222,0.5708288705674499,Schooling,0.05890211720673244,Diphtheria,2.2021644413378145,37.505590214193795
Bmi & Schooling,0.5856277747013935,0.5647308324053157,Schooling,0.10167024971916457,Bmi,1.9194136663562467,42.266461253375375
Polio & Schooling,0.552154040825672,0.5639545938042032,Schooling,0.036998314512184716,Polio,2.2480277930682147,38.886147501310234
Adult Mortality & Percentage Expenditure,0.6017815626657028,0.560148112436714,Adult Mortality,-0.04789668801914458,Percentage Expenditure,0.0011178055101086122,76.85050048802779
Schooling & Thinness 5-9 Years,0.5745333747318169,0.5586987550697947,Schooling,2.0870840025973063,Thinness 5-9 Years,-0.3158743490542975,45.623013001050545
Adult Mortality & Total Expenditure,0.5418222088430056,0.5582349225321187,Adult Mortality,-0.05021371051736404,Total Expenditure,0.5009668977517084,75.27044605977684
Income Composition Of Resources & Percentage Expenditure,0.6825242031621999,0.5560323880001479,Income Composition Of Resources,45.179711039035126,Percentage Expenditure,0.0002544350770062521,39.79581278722797
Gdp & Schooling,0.5608478851271631,0.5556153219372288,Schooling,0.00010176976486525901,Gdp,2.1691251288088114,42.395182296113475
Adult Mortality & Under-Five Deaths,0.5647019283652058,0.5528399842889322,Adult Mortality,-0.05196081535058725,Under-Five Deaths,-0.0071967745633333986,78.87664064138012
Measles & Schooling,0.5461707207160376,0.551223873664658,Schooling,3.60124323374279e-05,Measles,2.397924231551073,40.10189662479288
Adult Mortality & Thinness 5-9 Years,0.6373913392525442,0.5505955346818452,Adult Mortality,-0.04582905966477866,Thinness 5-9 Years,-0.5990445310934699,80.36612052443965
Military & Schooling,0.5460055583282222,0.5429834595182529,Schooling,0.005827391926413759,Military,2.391581038744316,40.403575055949354
Adult Mortality & Military,0.5327817106037991,0.5414920974600894,Adult Mortality,-0.05181847439534198,Military,-0.17315865617464338,78.81175302306909
Adult Mortality & Population,0.5349096243586546,0.54113695088067,Adult Mortality,-0.05251961753833788,Population,-6.050122937765592e-09,78.75308909420912
Adult Mortality & Infant Deaths,0.5666817118864429,0.5317657889936258,Adult Mortality,-0.05186166348174711,Infant Deaths,-0.011994571669671784,78.86162132601612
Population & Schooling,0.5537630661764347,0.5297644573020089,Schooling,1.1717885333871377e-09,Population,2.3664689405116253,40.563270217098875
Gdp & Hiv/Aids,0.5137155024822846,0.5274121968962171,Gdp,0.0002712432882706565,Hiv/Aids,-0.9538953226923784,69.93944444696399
Alcohol & Schooling,0.5602307573860972,0.5186058479324954,Schooling,-0.14911230799292688,Alcohol,2.5163308901125685,39.47064116064913
Percentage Expenditure & Schooling,0.572776655025567,0.5141728402395698,Schooling,0.000542460350532581,Percentage Expenditure,2.2326591837485417,41.79179058859725
Schooling & Total Expenditure,0.5596247392957191,0.507605235718708,Schooling,2.4018714310473266,Total Expenditure,0.009165919169292538,40.063906824861704
Hiv/Aids & Thinness 1-19 Years,0.5300886975894077,0.5069970223803433,Thinness 1-19 Years,-0.8740737272260785,Hiv/Aids,-0.8249714131492847,75.4097343288685
Alcohol & Hiv/Aids,0.5280217137922558,0.5004263971175555,Hiv/Aids,0.8564855118211289,Alcohol,-0.9889632546792154,67.41362846920208
Hepatitis B & Schooling,0.5664204945046402,0.49501720020486023,Schooling,0.020498351731935645,Hepatitis B,2.3709258821705887,38.9656013161009
Hiv/Aids & Thinness 5-9 Years,0.5329849451711617,0.48921446940827673,Thinness 5-9 Years,-0.9024970363631514,Hiv/Aids,-0.7291924754367629,75.11836924920135
Diphtheria & Hiv/Aids,0.4463885256515094,0.4890429262176269,Hiv/Aids,0.11003656858517033,Diphtheria,-0.952683164474018,62.39968852179735
Infant Deaths & Schooling,0.5699095721826513,0.48189737464864835,Schooling,-0.0010974866888310412,Infant Deaths,2.402288695114254,40.163119436876414
Adult Mortality & Measles,0.5646513280478167,0.4789814187585558,Adult Mortality,-0.051547653385478565,Measles,-0.0001044399050028282,78.75769625092447
Adult Mortality & Hepatitis B,0.5773611038758188,0.4584246987099042,Adult Mortality,-0.050539079906006264,Hepatitis B,0.04827637250573226,74.39195058053767
Hiv/Aids & Percentage Expenditure,0.5123997761273583,0.45477064613400975,Hiv/Aids,-0.9886525110873376,Percentage Expenditure,0.0018380922999872327,70.3765860423465
Hiv/Aids & Under-Five Deaths,0.4094301134032135,0.44537040299580594,Hiv/Aids,-1.0294639111240063,Under-Five Deaths,-0.010030596222638435,72.30230103147713
Hiv/Aids & Polio,0.4544126243152318,0.4331210723434664,Hiv/Aids,-1.0224637108783245,Polio,0.10612302526460345,62.92483163362963
Hepatitis B & Hiv/Aids,0.3975389474766764,0.42329873815246444,Hiv/Aids,0.05892721468748683,Hepatitis B,-1.013183466716687,67.02697938623241
Hiv/Aids & Total Expenditure,0.4211768069484158,0.4208227719884844,Hiv/Aids,-1.0253064170631052,Total Expenditure,0.8142665119153992,66.9273822371139
Bmi & Polio,0.37655656334730536,0.4129489335789655,Polio,0.2361693479474117,Bmi,0.10257100498210195,52.17864878145939
Hiv/Aids & Measles,0.37735353027485374,0.411490723692834,Hiv/Aids,-1.0398200059895109,Measles,-7.612367398320027e-05,72.15727132454568
Hiv/Aids & Infant Deaths,0.412297017215784,0.4030992680598574,Hiv/Aids,-1.106230982266843,Infant Deaths,-0.011870400157705446,72.49557228458544
Hiv/Aids & Population,0.3760938907695054,0.39604169837129677,Population,-1.1083637923518919,Hiv/Aids,-4.964247520843605e-09,71.90422561811795
Percentage Expenditure & Thinness 1-19 Years,0.3098331036547729,0.3866492551302346,Thinness 1-19 Years,0.0013684020729425707,Percentage Expenditure,-0.823196356200375,72.55230522205524
Bmi & Total Expenditure,0.31837650502378856,0.37562422341204416,Total Expenditure,0.25508217459129084,Bmi,0.261971819350356,58.50730551564945
Bmi & Thinness 1-19 Years,0.3869194826826534,0.37557070097549994,Thinness 1-19 Years,0.19757109208662538,Bmi,-0.5800415806710456,65.03228208309491
Bmi & Diphtheria,0.40301324279169504,0.37432343252241407,Diphtheria,0.24523613470227074,Bmi,0.11422294481034422,50.79342911229443
Bmi & Percentage Expenditure,0.41253231945992186,0.37129490096872597,Bmi,0.2347853656988836,Percentage Expenditure,0.0014505502847214679,59.70840762204986
Bmi & Gdp,0.4299659987487238,0.3707486114839912,Gdp,0.2328393502098109,Bmi,0.0002265009277724163,59.342388405613804
Bmi & Hepatitis B,0.3321432677633631,0.3702557773332801,Bmi,0.24867907941718914,Hepatitis B,0.045484184104292606,56.80078844193774
Bmi & Infant Deaths,0.3139666294320882,0.3699274400427187,Bmi,0.2516689323087009,Infant Deaths,-0.0022925996065133788,60.38175384686244
Polio & Thinness 1-19 Years,0.2959237557837219,0.3690548414939273,Thinness 1-19 Years,0.10026838957573607,Polio,-0.8315419668160018,65.51948536329958
Bmi & Military,0.3153815596499283,0.3625921191182274,Bmi,0.26302073720452773,Military,-0.3818971306307686,60.35159658042656
Diphtheria & Thinness 1-19 Years,0.30447123450840463,0.3584934638074642,Thinness 1-19 Years,0.11805705323913981,Diphtheria,-0.8160165568263033,63.52463622783627
Bmi & Thinness 5-9 Years,0.39133975742808225,0.35675917765559584,Thinness 5-9 Years,0.19356733872425202,Bmi,-0.5876115751846273,65.30050337883374
Fdi & Hiv/Aids,0.39652011005533455,0.3502389365151006,Fdi,0.032915495980878416,Hiv/Aids,-1.0652579678829444,71.47641708365914
Alcohol & Bmi,0.38968212807163316,0.3472740789036092,Bmi,0.5197493802112759,Alcohol,0.2320419172142426,58.372376396463544
Bmi & Under-Five Deaths,0.3275311472334218,0.34709693421811627,Under-Five Deaths,0.25722208097382626,Bmi,-0.0038092209065521175,60.180954818805255
Bmi & Fdi,0.3229551933162196,0.3461112193113629,Fdi,0.25827312324538043,Bmi,0.018321328124513547,59.956789677779206
Percentage Expenditure & Thinness 5-9 Years,0.3262679034109096,0.3416299955776597,Thinness 5-9 Years,0.0013641228688994196,Percentage Expenditure,-0.8417949446730939,72.55991540541376
Alcohol & Thinness 5-9 Years,0.29488764058115824,0.33894603770752785,Thinness 5-9 Years,0.58597297699602,Alcohol,-0.7120873345470061,70.4630915455178
Polio & Thinness 5-9 Years,0.31051388997609164,0.32740727516505086,Thinness 5-9 Years,0.10321280732950472,Polio,-0.8688073370909766,65.34531945232774
Diphtheria & Thinness 5-9 Years,0.31964054124422847,0.3267366710504054,Thinness 5-9 Years,0.11287076555568036,Diphtheria,-0.8550415927706378,64.26219266507123
Diphtheria & Gdp,0.2953230786954625,0.3242010079634251,Gdp,0.13986181498660774,Diphtheria,0.00028673481138030124,56.21761073263282
Gdp & Thinness 5-9 Years,0.35578003565067995,0.3229734489840884,Thinness 5-9 Years,0.00023743323497306355,Gdp,-0.8351315350496427,72.32182179256291
Hiv/Aids & Military,0.3980385612694593,0.31693672516912674,Hiv/Aids,-1.0527122371449622,Military,-0.07203552884568665,72.06781661865264
Thinness 5-9 Years & Total Expenditure,0.23335299215011476,0.3131301670502945,Thinness 5-9 Years,-0.9139134050835015,Total Expenditure,0.2054617380838887,72.98123319035749
Diphtheria & Percentage Expenditure,0.27425190592154447,0.30965890998568957,Diphtheria,0.13690332150154405,Percentage Expenditure,0.0018084927389386183,56.83814911099399
Bmi & Population,0.3381353818602747,0.29689258377949546,Population,0.265438709950851,Bmi,1.3156996080663407e-09,59.70837158248827
Gdp & Thinness 1-19 Years,0.36026481192089477,0.29685788701921,Thinness 1-19 Years,0.00023831347192302337,Gdp,-0.8198538211409968,72.35872791817366
Infant Deaths & Thinness 1-19 Years,0.23620513768369514,0.29121550803257745,Thinness 1-19 Years,0.004706454136801579,Infant Deaths,-0.9973660101832291,74.38435047595097
Alcohol & Gdp,0.2541804577223523,0.2901744018898076,Gdp,0.6020737814399693,Alcohol,0.00022444522029700263,65.46934067598731
Alcohol & Thinness 1-19 Years,0.3022689202965615,0.2895175969460734,Thinness 1-19 Years,0.5846473505079396,Alcohol,-0.7235048127288599,70.59361383310885
Hepatitis B & Thinness 5-9 Years,0.2599536562857043,0.2874210895448146,Thinness 5-9 Years,0.04851156689251916,Hepatitis B,-0.8854470071110452,70.2890026493337
Alcohol & Diphtheria,0.2648383299199678,0.2866088027318402,Diphtheria,0.7544067971209447,Alcohol,0.1390620064205209,54.3369592022965
Thinness 1-19 Years & Thinness 5-9 Years,0.25263868055080174,0.2778262536399785,Thinness 5-9 Years,-0.5157506915689016,Thinness 1-19 Years,-0.48827872911871634,74.58806011525049
Gdp & Polio,0.2848562540142493,0.2778209562346925,Gdp,0.0002949913348089962,Polio,0.11690545251751035,58.16090904934206
Alcohol & Polio,0.24370501335704509,0.2721126367162632,Polio,0.8149858344505826,Alcohol,0.10276519759353306,57.25449820209499
Thinness 1-19 Years & Total Expenditure,0.24629738219521746,0.26461310721017817,Thinness 1-19 Years,-0.9685667846615929,Total Expenditure,0.18764297729194399,73.31041928966722
Gdp & Hepatitis B,0.2318446851632072,0.25830894315050934,Gdp,0.00029779285802504507,Hepatitis B,0.06001225362384741,63.28163722483522
Fdi & Thinness 5-9 Years,0.2555021780372647,0.24930343803739885,Fdi,0.022796183510634522,Thinness 5-9 Years,-0.976024547674514,74.36576594591313
Hepatitis B & Thinness 1-19 Years,0.2704694435684645,0.24846281318544505,Thinness 1-19 Years,0.049882000690959695,Hepatitis B,-0.9410106410195345,70.35961244161764
Fdi & Thinness 1-19 Years,0.2512531303807921,0.24812385958932515,Fdi,0.02489856579824231,Thinness 1-19 Years,-0.9737118531504803,74.40941563037129
Alcohol & Hepatitis B,0.19516601061820482,0.2469456763451422,Hepatitis B,0.8716212761049873,Alcohol,0.047443680055179065,61.89739069187553
Population & Thinness 1-19 Years,0.2718595583816008,0.24605499764032213,Thinness 1-19 Years,1.7317647450270952e-08,Population,-1.1217977927093115,74.83721058383365
Measles & Thinness 5-9 Years,0.25305876454847953,0.24310961388790708,Thinness 5-9 Years,1.655718090033809e-05,Measles,-1.0265352929103908,74.69158330350544
Percentage Expenditure & Polio,0.2723319492060797,0.24154259955186563,Polio,0.0016789797493077898,Percentage Expenditure,0.12638983124104936,58.141562112228
Thinness 5-9 Years & Under-Five Deaths,0.2563627850178338,0.2361303143793727,Thinness 5-9 Years,-1.0466141390051875,Under-Five Deaths,0.001281749415262939,74.68531827594288
Alcohol & Percentage Expenditure,0.24949896662122628,0.23600973189831798,Percentage Expenditure,0.6654719208676152,Alcohol,0.0014061465818861077,65.691137702088
Infant Deaths & Thinness 5-9 Years,0.26457463219103594,0.2316528287648326,Thinness 5-9 Years,0.008465523336921379,Infant Deaths,-1.1397307978183246,75.00377097876712
Military & Thinness 5-9 Years,0.2571788470683376,0.22989388095908492,Thinness 5-9 Years,0.23583736129129168,Military,-0.9957078255830019,74.15696744491765
Bmi & Measles,0.35936147648243355,0.2293250834461982,Bmi,0.2800744235860633,Measles,1.2402338835978597e-05,59.040848766494776
Gdp & Under-Five Deaths,0.22578638873328538,0.22187989586318102,Gdp,0.0003093827820009194,Under-Five Deaths,-0.007510972402019517,68.44015141645892
Gdp & Measles,0.1939776734848706,0.22102529552707517,Gdp,0.0003175574629675974,Measles,-3.960100972682678e-05,68.03299557809152
Alcohol & Total Expenditure,0.18056233587615744,0.21687993033624375,Total Expenditure,0.859738311517269,Alcohol,0.48183558343892124,62.620229135887314
Percentage Expenditure & Under-Five Deaths,0.1955449709895933,0.21316277554316865,Under-Five Deaths,0.001889698297632623,Percentage Expenditure,-0.00969593397076585,68.81243502377913
Alcohol & Infant Deaths,0.19186669226741782,0.20979141676337987,Alcohol,0.8854714325564375,Infant Deaths,-0.007278883866607904,65.90179807206555
Gdp & Total Expenditure,0.20880722941044416,0.20968883563295224,Gdp,0.00032102795747614794,Total Expenditure,0.4105420980483585,65.34737551483468
Alcohol & Under-Five Deaths,0.20262983284456704,0.20770471357105247,Under-Five Deaths,0.8535504085461211,Alcohol,-0.010247728499683799,66.2359285110067
Diphtheria & Total Expenditure,0.16201497205938442,0.20752392402955008,Diphtheria,0.16642929623909125,Total Expenditure,0.5130399137415047,52.563437062237966
Gdp & Infant Deaths,0.22069741625866865,0.20497335285672547,Gdp,0.00032335699109635495,Infant Deaths,-0.008581437022013961,68.33672546066997
Diphtheria & Population,0.13407505489078064,0.2035213259895502,Population,0.15980317515979175,Diphtheria,-1.3565378028391081e-09,56.19990019892883
Percentage Expenditure & Population,0.15976170760008723,0.20128119490450336,Population,0.0019369705663005094,Percentage Expenditure,-3.196564314507123e-09,68.53289076522076
Hepatitis B & Percentage Expenditure,0.22429481626511374,0.19824530835483845,Hepatitis B,0.0793306725552011,Percentage Expenditure,0.0020528818106278434,62.23301095630268
Thinness 1-19 Years & Under-Five Deaths,0.2639923452877516,0.19537593927430286,Thinness 1-19 Years,-1.080390355721236,Under-Five Deaths,0.0011022940035645991,74.98586232702259
Percentage Expenditure & Total Expenditure,0.17728605731918834,0.1915854027411412,Total Expenditure,0.00181795465891856,Percentage Expenditure,0.3502460210303503,66.44374743971834
Fdi & Gdp,0.20135959890999133,0.1906368121263866,Fdi,0.03040475760810501,Gdp,0.0003056150832003397,68.05705464831482
Gdp & Percentage Expenditure,0.2045603476378879,0.1847279124088772,Gdp,0.000525129888289901,Percentage Expenditure,-0.001242130626303356,67.59345509762312
Measles & Thinness 1-19 Years,0.2629534101677359,0.18454239150402185,Thinness 1-19 Years,3.5694014375514573e-05,Measles,-1.1046605390973752,74.98133336917272
Military & Percentage Expenditure,0.16500006400408884,0.17783012068210102,Percentage Expenditure,-0.02090535663555683,Military,0.0018451273640483455,68.601259539532
Infant Deaths & Percentage Expenditure,0.1968817565615214,0.17633721980284822,Percentage Expenditure,-0.008945522430938374,Infant Deaths,0.0019948948881900945,68.71850681290658
Military & Thinness 1-19 Years,0.26975569534063326,0.17593627373696374,Thinness 1-19 Years,0.17584422456314577,Military,-1.0779724413596254,74.49539347875968
Alcohol & Military,0.18343992160475542,0.1744045990079739,Alcohol,0.9408449849973358,Military,0.3367848131417313,64.5615810999575
Population & Thinness 5-9 Years,0.2922135426894644,0.1722942842068793,Thinness 5-9 Years,1.836171493728678e-08,Population,-1.1871498911077265,74.97029801985782
Alcohol & Population,0.18301031631816955,0.170495478207899,Population,0.9610230493508576,Alcohol,-1.1446363305230658e-10,65.11515630712286
Gdp & Military,0.20534269700355,0.1697082497368433,Gdp,0.0003265168370828182,Military,0.029089361882826296,67.60678453582133
Diphtheria & Under-Five Deaths,0.168589607836365,0.16949450029262436,Diphtheria,0.16107953207461043,Under-Five Deaths,-0.007885858256103278,56.71090694631185
Polio & Under-Five Deaths,0.14717827134212336,0.16673823826762557,Polio,0.1293317970688313,Under-Five Deaths,-0.007182630373540001,59.34470414561579
Measles & Polio,0.11770434970919387,0.16344023008949227,Polio,-7.440474834128468e-05,Measles,0.13127288693341432,59.32467460761531
Alcohol & Measles,0.18957400663300483,0.16267386010539608,Measles,0.9516549878945996,Alcohol,-4.0675454907070054e-05,65.24574286737172
Gdp & Population,0.20979396853975082,0.16056650355705504,Population,0.00032064705733333905,Gdp,-2.39535184388935e-09,67.74472861200475
