,country,year,status,lifeexpectancy,adultmortality,infantdeaths,alcohol,percentageexpenditure,hepatitisb,measles,bmi,under-fivedeaths,polio,totalexpenditure,diphtheria,hiv/aids,gdp,population,thinness1-19years,thinness5-9years,incomecompositionofresources,schooling,fdi,birth_per_woman,water,math4,gini,out_of_pocket_share,aid_perperson,poverty,electricity,cellphone
13,afghanistan,2002,Developing,56.2,3.0,88,0.01,16.88735091,64.0,2486,13.0,122,36.0,7.76,36.0,0.1,187.84595,21979923.0,19.9,2.2,0.341,6.2,1.23299182308329,7.27,29.9,,,88.7,54.1260337175459,,,25000.0
14,afghanistan,2001,Developing,55.3,316.0,88,0.01,10.5747282,63.0,8762,12.6,122,35.0,7.8,33.0,0.1,117.49698000000001,2966463.0,2.1,2.4,0.34,5.9,,7.39,27.8,,,,18.9920032052391,,,0.0
15,afghanistan,2000,Developing,54.8,321.0,88,0.01,10.42496,62.0,6532,12.2,122,24.0,8.2,24.0,0.1,114.56,293756.0,2.3,2.5,0.33799999999999997,5.5,,7.49,27.8,,,,6.545250343291731,,,0.0
16,albania,2015,Developing,77.8,74.0,0,4.6,364.9752287,99.0,0,58.0,0,99.0,6.0,99.0,0.1,3954.22783,28873.0,1.2,1.3,0.762,14.2,8.690477033994059,1.71,91.0,,32.9,,116.34660138935101,,,3400955.0
17,albania,2014,Developing,77.5,8.0,0,4.51,428.74906680000004,98.0,0,57.2,1,98.0,5.88,98.0,0.1,4575.763787,288914.0,1.2,1.3,0.7609999999999999,14.2,8.69297509586909,1.71,91.0,,34.6,,97.32083491204679,,,3359654.0
18,albania,2013,Developing,77.2,84.0,0,4.76,430.8769785,99.0,0,56.5,1,99.0,5.66,99.0,0.1,4414.72314,289592.0,1.3,1.4,0.759,14.2,9.816243744666561,1.7,89.5,,,,93.25438051237342,,,3685983.0
19,albania,2012,Developing,76.9,86.0,0,5.14,412.4433563,99.0,9,55.8,1,99.0,5.59,99.0,0.1,4247.61438,2941.0,1.3,1.4,0.752,14.2,7.451384890698769,1.69,87.9,,29.0,,120.383355150584,0.0129,,3500000.0
20,albania,2011,Developing,76.6,88.0,0,5.37,437.0621,99.0,28,55.1,1,99.0,5.71,99.0,0.1,4437.17868,295195.0,1.4,1.5,0.738,13.3,8.13526846941792,1.67,87.8,,,,130.62118411546498,,,3100000.0
21,albania,2010,Developing,76.2,91.0,1,5.28,41.82275719,99.0,10,54.3,1,99.0,5.34,99.0,0.1,494.358832,291321.0,1.4,1.5,0.725,12.5,9.13810349420409,1.65,87.8,,,60.8,125.32350687626999,,,2692372.0
22,albania,2009,Developing,76.1,91.0,1,5.79,348.0559517,98.0,0,53.5,1,98.0,5.79,98.0,0.1,4114.136545,2927519.0,1.5,1.6,0.721,12.2,11.1706266358061,1.65,87.9,,,58.7,121.997498187538,,,2463741.0
23,albania,2008,Developing,75.3,1.0,1,5.61,36.62206845,99.0,0,52.6,1,99.0,5.87,99.0,0.1,437.539647,2947314.0,1.6,1.6,0.713,12.0,9.72642662141917,1.65,87.9,,30.0,58.3,123.78728440128599,0.00583,636.0,1859632.0
24,albania,2007,Developing,75.9,9.0,1,5.58,32.24655228,98.0,22,51.7,1,99.0,6.1,98.0,0.1,363.13685,29717.0,1.6,1.7,0.703,11.6,6.10898158597587,1.67,87.9,,,57.8,103.91523175888001,,575.0,2322436.0
25,albania,2006,Developing,74.2,99.0,1,5.31,3.3021542,98.0,68,5.8,1,97.0,5.86,97.0,0.1,35.1293,2992547.0,1.7,1.8,0.696,11.4,3.6548517813388997,1.7,87.9,,,56.9,108.28234562228201,,552.0,1909885.0
26,albania,2005,Developing,73.5,15.0,1,5.16,26.99312143,98.0,6,49.9,1,97.0,6.12,98.0,0.1,279.14293100000003,311487.0,1.8,1.8,0.685,10.8,3.2597683417782,1.75,87.9,,30.6,56.5,104.626049048947,0.0132,767.0,1530244.0
27,albania,2004,Developing,73.0,17.0,1,4.54,221.8428,99.0,7,48.9,1,98.0,6.38,97.0,0.1,2416.588235,326939.0,1.8,1.9,0.6809999999999999,10.9,4.750177406690559,1.82,87.9,,,56.1,99.42057056366379,0.016,788.0,1259590.0
28,albania,2003,Developing,72.8,18.0,1,4.29,14.71928882,97.0,8,47.9,1,97.0,6.27,97.0,0.1,189.681557,339616.0,1.9,2.0,0.674,10.7,3.17271042518022,1.9,87.9,,,60.4,114.919120559503,,854.0,1100000.0
29,albania,2002,Developing,73.3,15.0,1,3.73,104.5169157,96.0,16,46.9,1,98.0,6.3,98.0,0.1,1453.642777,3511.0,2.0,2.1,0.67,10.7,3.10482570131248,1.98,87.9,,31.7,63.8,100.740405751395,0.0223,875.0,851000.0
30,albania,2001,Developing,73.6,14.0,1,4.25,96.20557078,96.0,18,46.0,1,97.0,6.0,97.0,0.1,1326.97339,36173.0,2.1,2.1,0.662,10.6,5.28543453663519,2.07,87.9,,,61.7,87.7499405358119,,689.0,392650.0
31,albania,2000,Developing,72.6,11.0,1,3.66,91.71154052,96.0,662,45.0,1,97.0,6.26,97.0,0.1,1175.7889810000001,38927.0,2.1,2.2,0.6559999999999999,10.7,4.10877603723822,2.16,87.9,,,63.8,102.89648038153,,709.0,29791.0
32,algeria,2015,Developing,75.6,19.0,21,,0.0,95.0,63,59.5,24,95.0,,95.0,0.1,4132.76292,39871528.0,6.0,5.8,0.743,14.4,-0.324013750809036,2.84,93.5,,,,1.7904236934360098,,,43227643.0
33,algeria,2014,Developing,75.4,11.0,21,0.01,54.2373183,95.0,0,58.4,24,95.0,7.21,95.0,0.1,547.8517,39113313.0,6.0,5.8,0.741,14.4,0.7025932090282011,2.89,93.3,,,,4.12653598609988,,,43298174.0
34,algeria,2013,Developing,75.3,112.0,21,0.53,544.4507432,95.0,25,57.2,24,95.0,7.12,95.0,0.1,5471.866765999999,38338562.0,5.9,5.8,0.737,14.4,0.806602279904221,2.92,93.1,,,,5.33348962108849,,,39517045.0
35,algeria,2012,Developing,75.1,113.0,21,0.66,555.9260833999999,95.0,18,56.1,24,95.0,6.14,95.0,0.1,5564.82566,37565847.0,5.9,5.8,0.732,14.4,0.7176799646217701,2.94,92.8,,,,3.94073541160177,,,37527703.0
36,algeria,2011,Developing,74.9,116.0,21,0.56,509.0020405,95.0,112,55.0,24,95.0,5.29,95.0,0.1,5432.2523,36819558.0,5.9,5.8,0.7240000000000001,14.0,1.28551981316214,2.93,92.6,,27.6,,5.27393318450621,,,35615926.0
37,algeria,2010,Developing,74.7,119.0,21,0.45,430.71758610000006,95.0,103,53.9,24,95.0,5.12,95.0,0.1,4463.394675,36117637.0,5.9,5.8,0.7140000000000001,13.6,1.4269831518391298,2.89,92.4,,,20.9,5.593780883055789,,,32780165.0
38,algeria,2009,Developing,74.4,123.0,20,0.5,352.0636419,94.0,107,52.8,23,94.0,5.36,95.0,0.1,3868.83123,3546576.0,6.0,5.9,0.705,13.1,2.00191984407776,2.83,92.2,,,19.6,8.55807531158092,,,32729824.0
39,algeria,2008,Developing,74.1,126.0,20,0.46,43.08717334,91.0,217,51.8,23,92.0,4.2,93.0,0.1,495.254866,3486715.0,6.0,5.9,0.6970000000000001,12.6,1.5430672371928102,2.75,91.9,,,19.4,9.352844803991509,,591.0,27031472.0
40,algeria,2007,Developing,73.8,129.0,20,0.44,320.32392410000006,9.0,0,5.8,23,95.0,3.82,95.0,0.1,3935.183343,34376.0,6.0,5.9,0.69,12.3,1.2496313803461498,2.66,91.7,378.0,,21.5,11.561165261165801,,532.0,27562721.0
41,algeria,2006,Developing,73.4,132.0,20,0.36,270.24019619999996,8.0,944,49.8,23,95.0,3.36,95.0,0.1,3464.6179,33777915.0,6.1,6.0,0.6859999999999999,12.3,1.5730882579188898,2.58,91.4,,,24.3,7.15436456606676,,504.0,20997954.0
42,algeria,2005,Developing,72.9,136.0,19,0.5,2.5489227580000002,83.0,2302,48.9,22,88.0,3.24,88.0,0.1,31.122378,33288437.0,6.1,6.0,0.68,12.0,1.12017194921973,2.5,91.2,,,26.4,10.4791220850832,,533.0,13661355.0
43,algeria,2004,Developing,72.3,14.0,19,0.45,220.39369900000003,81.0,3289,47.9,23,86.0,3.54,86.0,0.1,2598.9823,3283196.0,6.2,6.1,0.6729999999999999,11.7,1.03352171781236,2.44,90.9,,,27.4,9.69559589008237,,466.0,4882414.0
44,algeria,2003,Developing,71.7,146.0,20,0.34,25.0185226,,15374,47.0,23,87.0,3.6,87.0,0.1,294.33556,3243514.0,6.3,6.1,0.6629999999999999,11.5,0.939909045216563,2.41,90.7,,,20.3,7.41503971398242,,452.0,1446927.0
45,algeria,2002,Developing,71.6,145.0,20,0.36,148.51198430000002,,5862,46.1,23,86.0,3.73,86.0,0.1,1774.33673,3199546.0,6.3,6.2,0.653,11.1,1.8763132428249198,2.4,90.4,,,21.7,5.84270470137735,,410.0,450244.0
46,algeria,2001,Developing,71.4,145.0,20,0.23,147.98607140000001,,2686,45.3,24,89.0,3.84,89.0,0.1,1732.857979,31592153.0,6.4,6.3,0.644,10.9,2.03332018803679,2.44,90.1,,,21.7,6.32274810714524,,390.0,100000.0
47,algeria,2000,Developing,71.3,145.0,21,0.25,154.4559436,,0,44.4,25,86.0,3.49,86.0,0.1,1757.17797,3118366.0,6.5,6.4,0.636,10.7,0.511261301901436,2.51,89.8,,,25.8,6.441546709309651,,373.0,86000.0
48,angola,2015,Developing,52.4,335.0,66,,0.0,64.0,118,23.3,98,7.0,,64.0,1.9,3695.7937479999996,2785935.0,8.3,8.2,0.531,11.4,8.63060523378897,5.77,54.3,,,,13.62985240944,,,13884532.0
49,angola,2014,Developing,51.7,348.0,67,8.33,23.965612,64.0,11699,22.7,101,68.0,3.31,64.0,2.0,479.31224000000003,2692466.0,8.5,8.3,0.527,11.4,2.5100950089622502,5.84,53.5,,,,8.73698798396528,,,14052558.0
50,angola,2013,Developing,51.1,355.0,69,8.1,35.95857279,77.0,8523,22.1,105,67.0,4.26,77.0,2.3,484.61688399999997,2599834.0,8.6,8.5,0.523,11.4,-5.208122718441349,5.92,52.8,,,,10.9756466477239,,,13285198.0
51,angola,2012,Developing,56.0,358.0,72,8.24,256.1225243,75.0,4458,21.5,110,75.0,3.3,75.0,2.6,4598.2499880000005,259615.0,8.8,8.6,0.508,10.3,-1.14376833410123,6.0,52.0,,,,9.70251195171566,,,12785109.0
52,angola,2011,Developing,51.0,361.0,75,8.06,239.89139210000002,72.0,1449,21.0,115,73.0,3.38,71.0,2.5,4299.12889,24218565.0,8.9,8.8,0.495,9.4,-2.70487471739953,6.08,51.2,,,,7.965926381670839,,,12073218.0
53,angola,2010,Developing,49.6,365.0,78,7.8,191.6537407,77.0,1190,2.4,121,81.0,3.39,77.0,2.5,3529.5348200000003,23369131.0,9.1,9.0,0.488,9.0,-3.85111046361424,6.16,50.4,,,17.5,10.068826906898698,,,9403365.0
54,angola,2009,Developing,49.1,369.0,81,7.01,212.92293250000003,61.0,2807,19.8,127,63.0,4.37,6.0,2.5,3347.84485,22549547.0,9.3,9.2,0.48,8.5,3.13666213316837,6.24,49.6,,,10.1,10.612819589548801,8.21,,8109421.0
55,angola,2008,Developing,48.7,371.0,84,7.07,249.9101958,69.0,265,19.3,133,65.0,3.84,69.0,2.6,3868.5788829999997,2175942.0,9.5,9.4,0.46799999999999997,8.1,1.89631505074079,6.31,48.8,,42.7,15.7,17.0098743620455,,173.0,6773356.0
56,angola,2007,Developing,48.2,375.0,87,6.35,184.8213446,73.0,1014,18.8,138,75.0,3.38,73.0,2.6,2878.837144,2997687.0,9.6,9.6,0.45399999999999996,7.7,-1.36876162792796,6.37,48.0,,,19.8,12.4360438508687,,147.0,4961536.0
57,angola,2006,Developing,47.7,381.0,90,5.84,25.08688824,,765,18.2,143,36.0,4.54,34.0,2.5,262.41514900000004,2262399.0,9.8,9.7,0.439,7.2,-0.0720010214346084,6.42,47.2,,,20.7,8.11517655955039,,134.0,3054620.0
58,angola,2005,Developing,47.4,382.0,92,5.04,98.19145117,,258,17.7,148,39.0,4.1,38.0,2.6,1443.9919289999998,19552542.0,1.0,9.9,0.426,6.8,-3.52665547915197,6.47,46.3,,,25.5,21.338298102213898,,123.0,1611118.0
59,angola,2004,Developing,47.1,386.0,94,3.53,8.8667775,,29,17.2,152,4.0,4.71,4.0,2.5,141.86844,18865716.0,1.2,1.1,0.415,6.4,9.32924138405768,6.5,45.4,,,24.0,61.0172245863895,,107.0,740000.0
60,angola,2003,Developing,46.8,388.0,95,3.49,35.93349121,,1196,16.8,155,4.0,4.41,4.0,2.4,779.468356,1823369.0,1.4,1.3,0.406,5.9,20.081013641086802,6.54,44.4,,,18.9,27.2328765218336,,98.3,350000.0
61,angola,2002,Developing,46.5,391.0,96,2.82,24.037942,,11945,16.3,157,37.0,3.63,41.0,2.3,711.181716,17572649.0,1.5,1.5,0.401,5.5,11.4061900735364,6.57,43.4,,,21.1,23.632635651020603,,89.4,140000.0
62,angola,2001,Developing,45.7,44.0,97,2.58,30.35993647,,9046,15.8,159,41.0,5.38,38.0,2.1,526.168743,16983266.0,1.7,1.7,0.391,5.1,24.009117061571498,6.6,42.3,,,14.5,16.6844170917827,,84.9,75000.0
63,angola,2000,Developing,45.3,48.0,97,1.85,15.88149254,,2219,15.4,160,3.0,2.79,28.0,2.0,555.2969419,1644924.0,1.9,1.9,0.382,4.6,9.62386631013722,6.64,41.1,,52.0,20.8,18.4325265550483,7.56,76.1,25806.0
64,antiguaandbarbuda,2015,Developing,76.4,13.0,0,,0.0,99.0,0,47.7,0,86.0,,99.0,0.2,13566.9541,,3.3,3.3,0.784,13.9,8.530357746702,2.06,96.7,,,,15.9245880932897,,,176000.0
65,antiguaandbarbuda,2014,Developing,76.2,131.0,0,8.56,2422.999774,99.0,0,47.0,0,96.0,5.54,99.0,0.2,12888.29667,,3.3,3.3,0.782,13.9,3.7018378093422903,2.08,96.7,,,,27.5491017082202,,,120041.0
66,antiguaandbarbuda,2013,Developing,76.1,133.0,0,8.58,1991.4303719999998,99.0,0,46.4,0,98.0,5.33,99.0,0.2,12224.86416,,3.3,3.3,0.7809999999999999,13.9,11.366474257894499,2.09,96.7,,,,17.3740114666135,,,114358.0
67,antiguaandbarbuda,2012,Developing,75.9,134.0,0,8.18,2156.229842,98.0,0,45.7,0,97.0,5.39,98.0,0.2,12565.44197,,3.3,3.3,0.778,13.8,10.781060755711698,2.1,96.9,,,,23.11716658927,,,127381.0
68,antiguaandbarbuda,2011,Developing,75.7,136.0,0,7.84,1810.875316,99.0,0,45.1,0,99.0,5.65,99.0,0.1,11929.349909999999,,3.3,3.3,0.782,14.1,5.7277140401482,2.12,97.0,,,,172.767302794235,,,176008.0
69,antiguaandbarbuda,2010,Developing,75.6,138.0,0,7.84,1983.9569370000002,98.0,0,44.4,0,99.0,5.63,98.0,0.1,12126.87614,,3.3,3.3,0.7829999999999999,14.1,8.41640182621901,2.13,97.1,,,25.8,223.33802707561298,,,167970.0
70,antiguaandbarbuda,2009,Developing,75.4,14.0,0,7.82,149.3587355,98.0,0,43.8,0,98.0,4.86,99.0,0.1,1312.4669199999998,,3.4,3.3,0.7879999999999999,14.2,6.587417191756329,2.15,97.2,,,29.3,49.108895267583996,,,134925.0
71,antiguaandbarbuda,2008,Developing,75.2,142.0,0,8.27,180.7762695,98.0,0,43.2,0,99.0,4.69,99.0,0.1,1473.31923,,3.4,3.3,0.7859999999999999,14.4,11.603345009497001,2.16,97.3,,,28.6,71.0797823303088,,,136592.0
72,antiguaandbarbuda,2007,Developing,75.0,144.0,0,8.64,257.96653080000004,97.0,0,42.6,0,98.0,4.27,99.0,0.1,14252.29452,,3.4,3.3,0.7809999999999999,14.5,25.7895675974098,2.18,97.4,,,29.6,59.3863776821241,,,112381.0
73,antiguaandbarbuda,2006,Developing,74.8,145.0,0,8.93,216.3146941,99.0,0,42.0,0,99.0,4.34,99.0,0.1,12724.39377,,3.4,3.4,0.773,14.7,31.012832776772104,2.2,97.6,,,30.2,39.65950826308,,,110177.0
74,antiguaandbarbuda,2005,Developing,74.6,147.0,0,8.15,1455.608186,99.0,0,41.4,0,98.0,4.41,99.0,0.1,11371.93895,,3.5,3.4,0.0,0.0,21.616636227943896,2.22,97.7,,,32.0,98.9381994674609,,,86000.0
75,antiguaandbarbuda,2004,Developing,74.4,149.0,0,7.28,22.86295206,97.0,0,4.8,0,97.0,4.21,97.0,0.1,1352.8374,,3.5,3.4,0.0,0.0,8.73951525948944,2.25,97.8,,,32.2,23.650666900992604,,,54000.0
76,antiguaandbarbuda,2003,Developing,74.2,151.0,0,7.16,1158.065259,99.0,0,4.1,0,99.0,4.53,99.0,0.1,9739.82556,,3.5,3.5,0.0,0.0,19.438144425393,2.27,97.9,,,31.3,70.99621834099521,,,46100.0
77,antiguaandbarbuda,2002,Developing,74.0,153.0,0,7.21,927.4075855000001,99.0,0,39.5,0,93.0,4.41,98.0,0.1,9386.716451999999,,3.6,3.5,0.0,0.0,8.08541923036249,2.29,98.0,,,30.3,172.552528627394,,,38205.0
78,antiguaandbarbuda,2001,Developing,73.8,154.0,0,7.51,163.7676978,96.0,0,38.9,0,99.0,4.48,97.0,0.1,9358.154162,,3.6,3.5,0.0,0.0,12.2951507787678,2.31,98.1,,,30.0,111.1226224383,,,25000.0
79,antiguaandbarbuda,2000,Developing,73.6,156.0,0,7.27,1127.74347,,0,38.2,0,96.0,4.13,95.0,0.1,9875.161736,,3.7,3.6,0.0,0.0,5.19369632413469,2.32,98.3,,,26.9,129.97263884499202,,,22000.0
80,argentina,2015,Developing,76.3,116.0,8,,0.0,94.0,0,62.8,9,93.0,,94.0,0.1,13467.1236,43417765.0,1.0,0.9,0.826,17.3,1.9771346178442601,2.31,99.1,,,,-0.4374945681639779,,,61842011.0
81,argentina,2014,Developing,76.2,118.0,8,7.93,847.3717462999999,94.0,1,62.2,9,92.0,4.79,94.0,0.1,12245.25645,42981515.0,1.0,0.9,0.825,17.3,0.962406650325519,2.32,99.0,,41.7,,1.1434397149141002,,,61234216.0
82,argentina,2013,Developing,76.0,119.0,8,8.28,1001.796332,94.0,0,61.6,10,99.0,4.99,94.0,0.1,12976.63642,42539925.0,1.0,0.9,0.823,17.3,1.77920553648531,2.34,98.9,,41.0,,0.8229285366583221,,,67361515.0
83,argentina,2012,Developing,75.9,12.0,9,8.35,1133.5580029999999,91.0,2,61.0,10,99.0,5.2,91.0,0.1,12969.7712,4296739.0,1.0,0.9,0.8220000000000001,17.2,2.8066718998293196,2.35,98.9,,41.4,,4.25943115043237,,,64327647.0
84,argentina,2011,Developing,75.7,12.0,9,8.11,1504.329462,91.0,3,6.4,10,93.0,5.89,91.0,0.1,12726.9836,41656879.0,1.0,0.9,0.816,17.1,2.0446400800307103,2.36,98.7,,42.7,,2.3520721876926403,0.574,,60722729.0
85,argentina,2010,Developing,75.5,121.0,10,8.15,187.61095500000002,94.0,17,59.8,11,95.0,6.55,94.0,0.1,1276.265,41223889.0,1.0,0.9,0.802,16.8,2.67516171886537,2.37,98.5,,44.5,29.9,3.19477665795744,0.6990000000000001,,57082298.0
86,argentina,2009,Developing,75.6,126.0,10,8.33,1398.042623,94.0,3,59.2,11,97.0,7.63,94.0,0.1,8161.369659999999,479947.0,1.0,0.9,0.794,16.5,1.2064392264756598,2.38,98.3,,44.1,19.9,2.8661563225165496,1.07,,52482780.0
87,argentina,2008,Developing,75.4,126.0,10,8.41,1413.7354300000002,9.0,0,58.6,11,94.0,6.66,93.0,0.1,8953.359275,4382389.0,1.0,0.9,0.792,16.3,2.68990096507093,2.4,98.1,,45.3,22.2,3.11924894119849,1.09,768.0,46508774.0
88,argentina,2007,Developing,74.8,129.0,10,8.16,1105.6590310000001,85.0,0,58.0,12,92.0,6.49,91.0,0.1,7193.61764,3997224.0,1.1,0.9,0.7879999999999999,16.3,2.2512942356836096,2.41,97.8,,46.6,25.0,2.27369550994754,1.18,709.0,40401771.0
89,argentina,2006,Developing,75.2,127.0,11,7.75,961.1774676000001,84.0,0,57.5,12,92.0,6.68,91.0,0.1,5878.76127,3955889.0,1.1,0.9,0.782,16.1,2.38106854489628,2.43,97.6,,46.7,28.4,2.9068555286548103,1.47,654.0,31510390.0
90,argentina,2005,Developing,74.9,127.0,11,7.53,96.16653429,88.0,0,56.9,12,95.0,6.85,98.0,0.1,576.883829,39145488.0,1.1,1.0,0.78,16.3,2.64935441452167,2.45,97.4,,48.0,29.4,2.41354920632189,1.79,615.0,22156426.0
91,argentina,2004,Developing,74.7,13.0,11,7.63,719.3663797,81.0,0,56.3,12,91.0,6.84,98.0,0.1,4251.574348,38728696.0,1.1,1.0,0.775,16.3,2.5050175164097004,2.47,97.2,,48.6,30.6,2.52883890536683,2.41,575.0,13512383.0
92,argentina,2003,Developing,74.1,137.0,11,7.62,57.58467352,73.0,0,55.7,13,95.0,8.22,96.0,0.1,333.4376,3839379.0,1.2,1.0,0.77,16.4,1.29481086883944,2.5,96.9,,51.2,30.7,3.0907479836021,3.42,557.0,7842233.0
93,argentina,2002,Developing,74.1,138.0,12,7.81,470.18691449999994,66.0,0,55.1,13,94.0,8.31,93.0,0.1,2579.193168,3788937.0,1.2,1.0,0.7759999999999999,16.3,2.1989581950220702,2.52,96.7,,53.8,29.8,2.62700114752554,4.73,554.0,6566740.0
94,argentina,2001,Developing,74.0,138.0,12,7.76,123.01286709999998,,0,54.6,13,85.0,9.38,83.0,0.1,717.6946740000001,3747159.0,1.2,1.1,0.7709999999999999,15.6,0.806164134759348,2.54,96.5,,53.3,29.3,4.22903399220617,3.08,578.0,6741791.0
95,argentina,2000,Developing,74.1,137.0,12,7.68,1349.025282,,6,54.0,14,88.0,9.21,83.0,0.1,7669.273915999999,3757452.0,1.2,1.1,0.764,15.0,3.6657905953537897,2.56,96.2,,51.1,29.1,2.02219707321663,1.87,570.0,6487950.0
96,armenia,2015,Developing,74.8,118.0,1,,0.0,94.0,33,54.9,1,96.0,,94.0,0.1,369.65477599999997,291695.0,2.1,2.2,0.741,12.7,1.74473699241328,1.66,99.7,,32.4,,118.774129535964,,,3464490.0
97,armenia,2014,Developing,74.6,12.0,1,3.91,295.60871430000003,93.0,13,54.1,1,95.0,4.48,93.0,0.1,3994.7123549999997,29622.0,2.1,2.1,0.7390000000000001,12.7,3.50211424719527,1.69,99.6,,31.5,,91.8245149025671,,,3459137.0
98,armenia,2013,Developing,74.4,123.0,1,3.79,279.4290812,95.0,10,53.3,1,96.0,4.55,95.0,0.1,3843.591213,289359.0,2.1,2.1,0.736,12.7,3.1119314812579604,1.71,99.3,,30.6,,96.7564651625503,,,3346275.0
99,armenia,2012,Developing,74.4,121.0,1,3.89,274.1526986,95.0,0,52.6,1,96.0,4.48,95.0,0.1,3684.8481,2881922.0,2.0,2.1,0.732,12.7,4.67672787765567,1.73,98.9,,29.6,,93.8066975814313,0.052000000000000005,,3322837.0
100,armenia,2011,Developing,73.9,128.0,1,4.09,260.9963826,95.0,0,51.9,1,96.0,3.71,95.0,0.1,3526.978143,2875581.0,2.0,2.1,0.7290000000000001,12.7,6.44066836705362,1.5,98.6,,29.4,,130.70920329728798,0.0726,,3211215.0
101,armenia,2010,Developing,73.5,132.0,1,4.23,224.3212014,94.0,2,51.2,1,96.0,4.56,94.0,0.1,3218.381655,2877311.0,2.0,2.1,0.72,12.3,5.716037845460041,1.55,98.3,,30.0,55.1,111.325858316099,0.0741,,3865354.0
102,armenia,2009,Developing,73.3,137.0,1,3.96,201.18554609999998,93.0,0,5.7,1,94.0,4.55,93.0,0.1,2993.832531,2888584.0,2.0,2.1,0.725,11.9,8.788694552480889,1.6,97.9,,28.0,52.5,140.438741599477,0.0463,,2191500.0
103,armenia,2008,Developing,73.2,14.0,1,3.96,2.8888979,89.0,0,5.1,1,91.0,3.8,89.0,0.1,41.26997,29822.0,2.0,2.1,0.721,12.3,8.09234920917782,1.4,97.6,,29.2,51.8,101.811860698103,0.042,604.0,1442000.0
