,Country,Year,Status,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling,current_amount,pocket_health_spend
34,algeria,2013,Developing,75.3,112.0,21,0.53,544.4507432,95.0,25,57.2,24,95.0,7.12,95.0,0.1,5471.866765999999,38338562.0,5.9,5.8,0.737,14.4,29335028.0,
35,algeria,2012,Developing,75.1,113.0,21,0.66,555.9260833999999,95.0,18,56.1,24,95.0,6.14,95.0,0.1,5564.82566,37565847.0,5.9,5.8,0.732,14.4,25076783.0,
36,algeria,2011,Developing,74.9,116.0,21,0.56,509.0020405,95.0,112,55.0,24,95.0,5.29,95.0,0.1,5432.2523,36819558.0,5.9,5.8,0.7240000000000001,14.0,21795736.0,
37,algeria,2010,Developing,74.7,119.0,21,0.45,430.71758610000006,95.0,103,53.9,24,95.0,5.12,95.0,0.1,4463.394675,36117637.0,5.9,5.8,0.7140000000000001,13.6,25513296.0,20.9
38,algeria,2009,Developing,74.4,123.0,20,0.5,352.0636419,94.0,107,52.8,23,94.0,5.36,95.0,0.1,3868.83123,3546576.0,6.0,5.9,0.705,13.1,21114660.0,19.6
39,algeria,2008,Developing,74.1,126.0,20,0.46,43.08717334,91.0,217,51.8,23,92.0,4.2,93.0,0.1,495.254866,3486715.0,6.0,5.9,0.6970000000000001,12.6,22504246.0,19.4
40,algeria,2007,Developing,73.8,129.0,20,0.44,320.32392410000006,9.0,0,5.8,23,95.0,3.82,95.0,0.1,3935.183343,34376.0,6.0,5.9,0.69,12.3,9057333.0,21.5
41,algeria,2006,Developing,73.4,132.0,20,0.36,270.24019619999996,8.0,944,49.8,23,95.0,3.36,95.0,0.1,3464.6179,33777915.0,6.1,6.0,0.6859999999999999,12.3,5228942.0,24.3
42,algeria,2005,Developing,72.9,136.0,19,0.5,2.5489227580000002,83.0,2302,48.9,22,88.0,3.24,88.0,0.1,31.122378,33288437.0,6.1,6.0,0.68,12.0,4951771.0,26.4
43,algeria,2004,Developing,72.3,14.0,19,0.45,220.39369900000003,81.0,3289,47.9,23,86.0,3.54,86.0,0.1,2598.9823,3283196.0,6.2,6.1,0.6729999999999999,11.7,8141900.0,27.4
44,algeria,2003,Developing,71.7,146.0,20,0.34,25.0185226,,15374,47.0,23,87.0,3.6,87.0,0.1,294.33556,3243514.0,6.3,6.1,0.6629999999999999,11.5,7410067.0,20.3
45,algeria,2002,Developing,71.6,145.0,20,0.36,148.51198430000002,,5862,46.1,23,86.0,3.73,86.0,0.1,1774.33673,3199546.0,6.3,6.2,0.653,11.1,7360354.0,21.7
46,algeria,2001,Developing,71.4,145.0,20,0.23,147.98607140000001,,2686,45.3,24,89.0,3.84,89.0,0.1,1732.857979,31592153.0,6.4,6.3,0.644,10.9,3386202.0,21.7
47,algeria,2000,Developing,71.3,145.0,21,0.25,154.4559436,,0,44.4,25,86.0,3.49,86.0,0.1,1757.17797,3118366.0,6.5,6.4,0.636,10.7,1199673.0,25.8
48,angola,2015,Developing,52.4,335.0,66,,0.0,64.0,118,23.3,98,7.0,,64.0,1.9,3695.7937479999996,2785935.0,8.3,8.2,0.531,11.4,120538217.0,
49,angola,2014,Developing,51.7,348.0,67,8.33,23.965612,64.0,11699,22.7,101,68.0,3.31,64.0,2.0,479.31224000000003,2692466.0,8.5,8.3,0.527,11.4,122686141.0,
50,angola,2013,Developing,51.1,355.0,69,8.1,35.95857279,77.0,8523,22.1,105,67.0,4.26,77.0,2.3,484.61688399999997,2599834.0,8.6,8.5,0.523,11.4,131566605.0,
51,angola,2012,Developing,56.0,358.0,72,8.24,256.1225243,75.0,4458,21.5,110,75.0,3.3,75.0,2.6,4598.2499880000005,259615.0,8.8,8.6,0.508,10.3,155113326.0,
52,angola,2011,Developing,51.0,361.0,75,8.06,239.89139210000002,72.0,1449,21.0,115,73.0,3.38,71.0,2.5,4299.12889,24218565.0,8.9,8.8,0.495,9.4,149883287.0,
53,angola,2010,Developing,49.6,365.0,78,7.8,191.6537407,77.0,1190,2.4,121,81.0,3.39,77.0,2.5,3529.5348200000003,23369131.0,9.1,9.0,0.488,9.0,161072712.0,17.5
54,angola,2009,Developing,49.1,369.0,81,7.01,212.92293250000003,61.0,2807,19.8,127,63.0,4.37,6.0,2.5,3347.84485,22549547.0,9.3,9.2,0.48,8.5,103161743.0,10.1
55,angola,2008,Developing,48.7,371.0,84,7.07,249.9101958,69.0,265,19.3,133,65.0,3.84,69.0,2.6,3868.5788829999997,2175942.0,9.5,9.4,0.46799999999999997,8.1,113132177.0,15.7
56,angola,2007,Developing,48.2,375.0,87,6.35,184.8213446,73.0,1014,18.8,138,75.0,3.38,73.0,2.6,2878.837144,2997687.0,9.6,9.6,0.45399999999999996,7.7,96825665.0,19.8
57,angola,2006,Developing,47.7,381.0,90,5.84,25.08688824,,765,18.2,143,36.0,4.54,34.0,2.5,262.41514900000004,2262399.0,9.8,9.7,0.439,7.2,142589766.0,20.7
58,angola,2005,Developing,47.4,382.0,92,5.04,98.19145117,,258,17.7,148,39.0,4.1,38.0,2.6,1443.9919289999998,19552542.0,1.0,9.9,0.426,6.8,151707453.0,25.5
59,angola,2004,Developing,47.1,386.0,94,3.53,8.8667775,,29,17.2,152,4.0,4.71,4.0,2.5,141.86844,18865716.0,1.2,1.1,0.415,6.4,248715978.0,24.0
60,angola,2003,Developing,46.8,388.0,95,3.49,35.93349121,,1196,16.8,155,4.0,4.41,4.0,2.4,779.468356,1823369.0,1.4,1.3,0.406,5.9,314242662.0,18.9
61,angola,2002,Developing,46.5,391.0,96,2.82,24.037942,,11945,16.3,157,37.0,3.63,41.0,2.3,711.181716,17572649.0,1.5,1.5,0.401,5.5,235473921.0,21.1
62,angola,2001,Developing,45.7,44.0,97,2.58,30.35993647,,9046,15.8,159,41.0,5.38,38.0,2.1,526.168743,16983266.0,1.7,1.7,0.391,5.1,141614809.0,14.5
63,angola,2000,Developing,45.3,48.0,97,1.85,15.88149254,,2219,15.4,160,3.0,2.79,28.0,2.0,555.2969419,1644924.0,1.9,1.9,0.382,4.6,105389883.0,20.8
64,antiguaandbarbuda,2015,Developing,76.4,13.0,0,,0.0,99.0,0,47.7,0,86.0,,99.0,0.2,13566.9541,,3.3,3.3,0.784,13.9,770000.0,
65,antiguaandbarbuda,2014,Developing,76.2,131.0,0,8.56,2422.999774,99.0,0,47.0,0,96.0,5.54,99.0,0.2,12888.29667,,3.3,3.3,0.782,13.9,1024000.0,
66,antiguaandbarbuda,2013,Developing,76.1,133.0,0,8.58,1991.4303719999998,99.0,0,46.4,0,98.0,5.33,99.0,0.2,12224.86416,,3.3,3.3,0.7809999999999999,13.9,1051000.0,
67,antiguaandbarbuda,2012,Developing,75.9,134.0,0,8.18,2156.229842,98.0,0,45.7,0,97.0,5.39,98.0,0.2,12565.44197,,3.3,3.3,0.778,13.8,960500.0,
68,antiguaandbarbuda,2011,Developing,75.7,136.0,0,7.84,1810.875316,99.0,0,45.1,0,99.0,5.65,99.0,0.1,11929.349909999999,,3.3,3.3,0.782,14.1,803966.0,
69,antiguaandbarbuda,2010,Developing,75.6,138.0,0,7.84,1983.9569370000002,98.0,0,44.4,0,99.0,5.63,98.0,0.1,12126.87614,,3.3,3.3,0.7829999999999999,14.1,4624538.0,25.8
70,antiguaandbarbuda,2009,Developing,75.4,14.0,0,7.82,149.3587355,98.0,0,43.8,0,98.0,4.86,99.0,0.1,1312.4669199999998,,3.4,3.3,0.7879999999999999,14.2,1410172.0,29.3
71,antiguaandbarbuda,2008,Developing,75.2,142.0,0,8.27,180.7762695,98.0,0,43.2,0,99.0,4.69,99.0,0.1,1473.31923,,3.4,3.3,0.7859999999999999,14.4,212000.0,28.6
72,antiguaandbarbuda,2007,Developing,75.0,144.0,0,8.64,257.96653080000004,97.0,0,42.6,0,98.0,4.27,99.0,0.1,14252.29452,,3.4,3.3,0.7809999999999999,14.5,1080000.0,29.6
73,antiguaandbarbuda,2006,Developing,74.8,145.0,0,8.93,216.3146941,99.0,0,42.0,0,99.0,4.34,99.0,0.1,12724.39377,,3.4,3.4,0.773,14.7,896733.0,30.2
74,antiguaandbarbuda,2005,Developing,74.6,147.0,0,8.15,1455.608186,99.0,0,41.4,0,98.0,4.41,99.0,0.1,11371.93895,,3.5,3.4,0.0,0.0,1315944.0,32.0
75,antiguaandbarbuda,2004,Developing,74.4,149.0,0,7.28,22.86295206,97.0,0,4.8,0,97.0,4.21,97.0,0.1,1352.8374,,3.5,3.4,0.0,0.0,3064001.0,32.2
76,antiguaandbarbuda,2003,Developing,74.2,151.0,0,7.16,1158.065259,99.0,0,4.1,0,99.0,4.53,99.0,0.1,9739.82556,,3.5,3.5,0.0,0.0,664000.0,31.3
77,antiguaandbarbuda,2002,Developing,74.0,153.0,0,7.21,927.4075855000001,99.0,0,39.5,0,93.0,4.41,98.0,0.1,9386.716451999999,,3.6,3.5,0.0,0.0,7270999.0,30.3
78,antiguaandbarbuda,2001,Developing,73.8,154.0,0,7.51,163.7676978,96.0,0,38.9,0,99.0,4.48,97.0,0.1,9358.154162,,3.6,3.5,0.0,0.0,1552000.0,30.0
79,antiguaandbarbuda,2000,Developing,73.6,156.0,0,7.27,1127.74347,,0,38.2,0,96.0,4.13,95.0,0.1,9875.161736,,3.7,3.6,0.0,0.0,706000.0,26.9
80,argentina,2015,Developing,76.3,116.0,8,,0.0,94.0,0,62.8,9,93.0,,94.0,0.1,13467.1236,43417765.0,1.0,0.9,0.826,17.3,3590244.0,
81,argentina,2014,Developing,76.2,118.0,8,7.93,847.3717462999999,94.0,1,62.2,9,92.0,4.79,94.0,0.1,12245.25645,42981515.0,1.0,0.9,0.825,17.3,4793875.0,
82,argentina,2013,Developing,76.0,119.0,8,8.28,1001.796332,94.0,0,61.6,10,99.0,4.99,94.0,0.1,12976.63642,42539925.0,1.0,0.9,0.823,17.3,5913889.0,
83,argentina,2012,Developing,75.9,12.0,9,8.35,1133.5580029999999,91.0,2,61.0,10,99.0,5.2,91.0,0.1,12969.7712,4296739.0,1.0,0.9,0.8220000000000001,17.2,16543082.0,
84,argentina,2011,Developing,75.7,12.0,9,8.11,1504.329462,91.0,3,6.4,10,93.0,5.89,91.0,0.1,12726.9836,41656879.0,1.0,0.9,0.816,17.1,22103222.0,
85,argentina,2010,Developing,75.5,121.0,10,8.15,187.61095500000002,94.0,17,59.8,11,95.0,6.55,94.0,0.1,1276.265,41223889.0,1.0,0.9,0.802,16.8,12664112.0,29.9
86,argentina,2009,Developing,75.6,126.0,10,8.33,1398.042623,94.0,3,59.2,11,97.0,7.63,94.0,0.1,8161.369659999999,479947.0,1.0,0.9,0.794,16.5,7962246.0,19.9
87,argentina,2008,Developing,75.4,126.0,10,8.41,1413.7354300000002,9.0,0,58.6,11,94.0,6.66,93.0,0.1,8953.359275,4382389.0,1.0,0.9,0.792,16.3,12334399.0,22.2
88,argentina,2007,Developing,74.8,129.0,10,8.16,1105.6590310000001,85.0,0,58.0,12,92.0,6.49,91.0,0.1,7193.61764,3997224.0,1.1,0.9,0.7879999999999999,16.3,14923522.0,25.0
89,argentina,2006,Developing,75.2,127.0,11,7.75,961.1774676000001,84.0,0,57.5,12,92.0,6.68,91.0,0.1,5878.76127,3955889.0,1.1,0.9,0.782,16.1,6204633.0,28.4
90,argentina,2005,Developing,74.9,127.0,11,7.53,96.16653429,88.0,0,56.9,12,95.0,6.85,98.0,0.1,576.883829,39145488.0,1.1,1.0,0.78,16.3,4657435.0,29.4
91,argentina,2004,Developing,74.7,13.0,11,7.63,719.3663797,81.0,0,56.3,12,91.0,6.84,98.0,0.1,4251.574348,38728696.0,1.1,1.0,0.775,16.3,5894158.0,30.6
92,argentina,2003,Developing,74.1,137.0,11,7.62,57.58467352,73.0,0,55.7,13,95.0,8.22,96.0,0.1,333.4376,3839379.0,1.2,1.0,0.77,16.4,10716359.0,30.7
93,argentina,2002,Developing,74.1,138.0,12,7.81,470.18691449999994,66.0,0,55.1,13,94.0,8.31,93.0,0.1,2579.193168,3788937.0,1.2,1.0,0.7759999999999999,16.3,6285866.0,29.8
94,argentina,2001,Developing,74.0,138.0,12,7.76,123.01286709999998,,0,54.6,13,85.0,9.38,83.0,0.1,717.6946740000001,3747159.0,1.2,1.1,0.7709999999999999,15.6,8379494.0,29.3
95,argentina,2000,Developing,74.1,137.0,12,7.68,1349.025282,,6,54.0,14,88.0,9.21,83.0,0.1,7669.273915999999,3757452.0,1.2,1.1,0.764,15.0,6878188.0,29.1
96,armenia,2015,Developing,74.8,118.0,1,,0.0,94.0,33,54.9,1,96.0,,94.0,0.1,369.65477599999997,291695.0,2.1,2.2,0.741,12.7,85944474.0,
97,armenia,2014,Developing,74.6,12.0,1,3.91,295.60871430000003,93.0,13,54.1,1,95.0,4.48,93.0,0.1,3994.7123549999997,29622.0,2.1,2.1,0.7390000000000001,12.7,113747123.0,
98,armenia,2013,Developing,74.4,123.0,1,3.79,279.4290812,95.0,10,53.3,1,96.0,4.55,95.0,0.1,3843.591213,289359.0,2.1,2.1,0.736,12.7,119874150.0,
99,armenia,2012,Developing,74.4,121.0,1,3.89,274.1526986,95.0,0,52.6,1,96.0,4.48,95.0,0.1,3684.8481,2881922.0,2.0,2.1,0.732,12.7,82860169.0,
100,armenia,2011,Developing,73.9,128.0,1,4.09,260.9963826,95.0,0,51.9,1,96.0,3.71,95.0,0.1,3526.978143,2875581.0,2.0,2.1,0.7290000000000001,12.7,198512707.0,
101,armenia,2010,Developing,73.5,132.0,1,4.23,224.3212014,94.0,2,51.2,1,96.0,4.56,94.0,0.1,3218.381655,2877311.0,2.0,2.1,0.72,12.3,154060577.0,55.1
102,armenia,2009,Developing,73.3,137.0,1,3.96,201.18554609999998,93.0,0,5.7,1,94.0,4.55,93.0,0.1,2993.832531,2888584.0,2.0,2.1,0.725,11.9,149877122.0,52.5
103,armenia,2008,Developing,73.2,14.0,1,3.96,2.8888979,89.0,0,5.1,1,91.0,3.8,89.0,0.1,41.26997,29822.0,2.0,2.1,0.721,12.3,170406685.0,51.8
104,armenia,2007,Developing,73.5,132.0,1,3.99,44.57219966,85.0,1,49.7,1,9.0,4.31,88.0,0.1,3138.8873,293356.0,2.0,2.1,0.7070000000000001,11.7,170863527.0,54.9
105,armenia,2006,Developing,72.9,141.0,1,4.01,244.5352767,78.0,137,49.2,1,87.0,4.58,87.0,0.1,2158.299,29585.0,2.0,2.1,0.6920000000000001,11.2,393487055.0,57.7
106,armenia,2005,Developing,73.0,137.0,1,4.25,20.21822828,91.0,2281,48.8,1,92.0,5.25,9.0,0.1,1643.758397,2981259.0,2.0,2.1,0.679,10.9,148242876.0,66.6
107,armenia,2004,Developing,73.0,132.0,1,3.81,97.74087744,91.0,1783,48.4,1,93.0,5.5,91.0,0.1,1191.96192,3612.0,2.0,2.1,0.6679999999999999,10.9,157791579.0,71.5
108,armenia,2003,Developing,72.7,134.0,1,3.03,7.341493148,93.0,4,48.1,1,96.0,5.56,94.0,0.1,93.1661567,31786.0,2.0,2.1,0.657,10.8,179952940.0,69.1
109,armenia,2002,Developing,72.6,134.0,1,2.86,57.17810403,91.0,40,47.8,1,96.0,5.4,94.0,0.1,783.261699,333897.0,2.1,2.1,0.645,10.8,175526053.0,68.6
110,armenia,2001,Developing,72.6,141.0,1,2.86,53.19373012,69.0,69,47.4,1,97.0,5.94,94.0,0.1,694.435119,35655.0,2.1,2.1,0.644,11.1,169842666.0,69.6
111,armenia,2000,Developing,72.0,142.0,1,2.9,32.75626853,55.0,15,47.1,1,96.0,6.25,93.0,0.1,622.7427477000001,369588.0,2.1,2.2,0.639,11.2,104150392.0,77.1
112,australia,2015,Developed,82.8,59.0,1,,0.0,93.0,74,66.6,1,93.0,,93.0,0.1,56554.3876,23789338.0,0.6,0.6,0.937,20.4,501042.0,
113,australia,2014,Developed,82.7,6.0,1,9.71,10769.36305,91.0,340,66.1,1,92.0,9.42,92.0,0.1,62214.6912,2346694.0,0.6,0.6,0.9359999999999999,20.4,,
114,australia,2013,Developed,82.5,61.0,1,9.87,11734.853809999999,91.0,158,65.5,1,91.0,9.36,91.0,0.1,67792.3386,23117353.0,0.6,0.6,0.9329999999999999,20.3,27064.0,
115,australia,2012,Developed,82.3,61.0,1,10.03,11714.99858,91.0,199,65.0,1,92.0,9.36,92.0,0.1,67677.63477,22728254.0,0.6,0.6,0.93,20.1,1764117.0,
116,australia,2011,Developed,82.0,63.0,1,10.3,10986.26527,92.0,190,64.4,1,92.0,9.2,92.0,0.1,62245.129,223424.0,0.6,0.6,0.927,19.8,601153.0,
117,australia,2010,Developed,81.9,64.0,1,10.52,8875.786493000001,92.0,70,63.9,1,92.0,9.2,92.0,0.1,51874.848,223175.0,0.7,0.6,0.927,19.5,382693.0,20.5
118,australia,2009,Developed,81.7,66.0,1,10.62,7172.275229000001,94.0,104,63.4,1,92.0,9.5,92.0,0.1,42742.998980000004,216917.0,0.7,0.6,0.925,19.1,653884.0,19.5
119,australia,2008,Developed,81.3,66.0,1,10.76,8547.292356999998,94.0,65,62.9,1,92.0,8.78,92.0,0.1,49664.6854,212492.0,0.7,0.6,0.9209999999999999,19.1,823038.0,18.2
120,australia,2007,Developed,81.3,66.0,1,10.56,872.5986092,94.0,11,62.5,2,92.0,8.53,92.0,0.1,4991.98289,28276.0,0.7,0.6,0.9179999999999999,19.0,166820.0,18.0
121,australia,2006,Developed,81.2,66.0,1,10.31,6187.062017,95.0,0,62.0,2,92.0,8.49,92.0,0.1,36118.28381,26979.0,0.7,0.6,0.915,20.3,399482.0,18.7
122,australia,2005,Developed,81.0,67.0,1,10.3,579.1331637,95.0,10,61.5,2,92.0,8.45,92.0,0.1,3416.71483,23948.0,0.7,0.6,0.91,20.3,82416.0,18.6
123,australia,2004,Developed,86.0,69.0,1,9.84,588.568371,95.0,70,6.9,1,92.0,8.57,92.0,0.1,3472.3797700000005,21274.0,0.7,0.6,0.9079999999999999,20.7,,18.3
124,australia,2003,Developed,83.0,71.0,1,9.97,3829.550928,95.0,91,6.3,1,92.0,8.32,93.0,0.1,23465.38559,198954.0,0.7,0.7,0.905,20.6,,18.3
125,australia,2002,Developed,79.9,73.0,1,9.84,46.387181899999995,95.0,32,59.6,2,92.0,8.39,92.0,0.1,281.81763,196514.0,0.7,0.7,0.902,20.1,,18.8
126,australia,2001,Developed,79.9,75.0,1,9.53,3064.301144,94.0,141,59.0,2,91.0,8.18,92.0,0.1,19517.84168,19413.0,0.7,0.7,0.899,20.5,,19.3
127,australia,2000,Developed,79.5,78.0,1,10.17,347.18736,,108,58.2,2,9.0,8.8,9.0,0.1,2169.9210000000003,19153.0,0.7,0.7,0.897,20.4,,19.8
128,austria,2015,Developed,81.5,65.0,0,,0.0,93.0,309,57.6,0,93.0,,93.0,0.1,43665.947,8633169.0,1.9,2.1,0.892,15.9,6858.0,
129,austria,2014,Developed,81.4,66.0,0,12.32,8350.193523,98.0,117,57.1,0,98.0,11.21,98.0,0.1,51322.63997,8541575.0,1.8,2.0,0.892,15.9,,
130,austria,2013,Developed,81.1,68.0,0,11.82,90.58501176,95.0,0,56.6,0,95.0,11.14,95.0,0.1,554.71532,8479375.0,1.8,2.0,0.887,15.7,16709.0,
131,austria,2012,Developed,88.0,7.0,0,12.26,7878.3723549999995,92.0,36,56.1,0,92.0,11.17,92.0,0.1,48333.57273,8429991.0,1.8,2.0,0.884,15.7,618410.0,
132,austria,2011,Developed,88.0,73.0,0,12.04,8272.306756999998,89.0,68,55.7,0,89.0,1.94,89.0,0.1,51126.741389999996,8391643.0,1.7,2.0,0.88,15.7,1242697.0,
133,austria,2010,Developed,84.0,75.0,0,12.1,7423.228773999999,86.0,52,55.2,0,86.0,11.17,86.0,0.1,46657.629,836344.0,1.7,1.9,0.872,15.4,4413402.0,14.6
134,austria,2009,Developed,82.0,77.0,0,11.3,8053.557637999999,83.0,49,54.7,0,83.0,11.19,83.0,0.1,47654.187210000004,8343323.0,1.7,1.9,0.87,15.3,7188957.0,14.5
135,austria,2008,Developed,84.0,76.0,0,12.0,8329.731655,83.0,448,54.2,0,83.0,1.6,83.0,0.1,51386.37665,8321496.0,1.7,1.9,0.8640000000000001,15.1,7600000.0,14.7
136,austria,2007,Developed,81.0,8.0,0,12.5,7453.8644,85.0,20,53.7,0,85.0,1.4,85.0,0.1,46586.6525,8295487.0,1.7,1.9,0.86,15.2,,15.4
137,austria,2006,Developed,79.8,81.0,0,12.4,69.92899358,83.0,23,53.2,0,83.0,1.35,83.0,0.1,443.99361,8268641.0,1.7,1.9,0.8540000000000001,15.0,,15.8
